"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"Glycerophosphocholine","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","Glycerophosphocholine","GPP","C8H21NO6P",10.86,258.110652,"[M]","cpd:C00670","ChEBI:36313","HILICPos",NA,4,"Mix1",180130,"sn-Glycero-3-phosphocholine; Glycerophosphocholine","Glycerophosphocholine","ChEBI:16870",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Glycerophosphocholines; level 6: Glycerophosphocholines; level 7: Glycerophosphocholines; level 8: Glycerophosphocholines"
"Glycine","HILIC",1,NA,NA,NA,NA,NA,NA,"Amino Acid","Glycine","Glycine","C2H5NO2",11.51,76.039854,"[M+H]","cpd:C00037","ChEBI:15428","HILICPos",NA,4,"Mix1",160401,"Glycine; Aminoacetic acid; Gly","Glycine","ChEBI:15428",750,"C2H5NO2","DHMQDGOQFOQNFH-UHFFFAOYSA-N","C(C(=O)O)N","2-aminoacetic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids"
"Guanosine monophosphate","HILIC",-1,"100 - >10000","0.248","28.8","100 - >10000","0.577","13","Energy charge","GMP","GMP","C10H14N5O8P",13.85,362.050178,"[M-H]","cpd:C00144","ChEBI:17345","HILICNeg",NA,4,"Mix2",160401,"GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid","Guanosine monophosphate","ChEBI:17345",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_monophosphates; level 6: Purine_ribonucleoside_monophosphates; level 7: Purine_ribonucleoside_monophosphates; level 8: Purine_ribonucleoside_monophosphates"
"Guanosine triphosphate","HILIC",-1,"100 - >10000","0.493","92.4","500 - >10000","1.978","20.5","Energy charge","GTP","GTP","C10H16N5O14P3",16.58,521.982844,"[M-H]","cpd:C00044","ChEBI:15996","HILICNeg",NA,4,"Mix2",160401,"GTP; Guanosine 5'-triphosphate","Guanosine triphosphate","ChEBI:15996",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_triphosphates; level 6: Purine_ribonucleoside_triphosphates; level 7: Purine_ribonucleoside_triphosphates; level 8: Purine_ribonucleoside_triphosphates"
"Guanine","HILIC",-1,NA,"1.159","12.2",NA,"1.617","8.5","Nucleic Acid","Guanine","Guanine","C5H5N5O",8.61,150.041585,"[M-H]","cpd:C00242","ChEBI:16235","HILICNeg",NA,4,"Mix2",160401,"Guanine; 2-Amino-6-hydroxypurine","Guanine","ChEBI:16235",135398634,"C5H5N5O","UYTPUPDQBNUYGX-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC(=N2)N","2-amino-1,7-dihydropurin-6-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: Purines_and_purine_derivatives; level 6: Purines_and_purine_derivatives; level 7: Purines_and_purine_derivatives; level 8: Purines_and_purine_derivatives"
"Guanine","HILIC",1,NA,NA,NA,NA,NA,NA,"Nucleic Acid","Guanine","Guanine","C5H5N5O",8.61,152.057235,"[M+H]","cpd:C00242","ChEBI:16235","HILICPos",NA,4,"Mix2",160401,"Guanine; 2-Amino-6-hydroxypurine","Guanine","ChEBI:16235",135398634,"C5H5N5O","UYTPUPDQBNUYGX-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC(=N2)N","2-amino-1,7-dihydropurin-6-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: Purines_and_purine_derivatives; level 6: Purines_and_purine_derivatives; level 7: Purines_and_purine_derivatives; level 8: Purines_and_purine_derivatives"
"Guanosine","HILIC",1,NA,NA,NA,NA,NA,NA,"Nucleoside","Guanosine","Guanosine","C10H13N5O5",9.06,284.099495,"[M+H]","cpd:C00387","ChEBI:16750","HILICPos",NA,4,"Mix2",160401,"Guanosine","Guanosine","ChEBI:16750",135398635,"C10H13N5O5","NYHBQMYGNKIUIF-UUOKFMHZSA-N","C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides"
"Guanosine","HILIC",-1,"100 - >10000","0.609","13.7","<10 - 1000","4.329","16.5","Nucleoside","Guanosine","Guanosine","C10H13N5O5",9.06,282.083845,"[M-H]","cpd:C00387","ChEBI:16750","HILICNeg",NA,4,"Mix2",160401,"Guanosine","Guanosine","ChEBI:16750",135398635,"C10H13N5O5","NYHBQMYGNKIUIF-UUOKFMHZSA-N","C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides"
"Guanosine monophosphate, 15N5","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Guanosine Monophosphate, 15N5","Guanosine Monophosphate, 15N5","C10H13N(15)5O8P",13.85,367.0364,"[M-H]",NA,NA,"HILICNeg",NA,2,NA,170301,NA,"Guanosine Monophosphate 15N5",NA,NA,NA,NA,NA,NA,NA
"L-Histidine","HILIC",1,"100 - >10000","0.759","23","<10 - 1000","0.704","6.9","Amino Acid","Histidine","Histidine","C6H9N3O2",11.45,156.077302,"[M+H]","cpd:C00135","ChEBI:15971","HILICPos",NA,4,"Mix1",160401,"L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid","Histidine","ChEBI:15971",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Histidine_and_derivatives; level 8: Histidine_and_derivatives"
"Homarine","HILIC",1,NA,"1.23","10.4",NA,"1.177","9.4","Osmolyte","Homarine","Homarine","C7H7NO2",6.19,138.055503,"[M+H]",NA,"ChEBI:69061","HILICPos",NA,4,"Mix2",160401,NA,"Homarine",NA,3620,"C7H7NO2","BRTLKRNVNFIOPJ-UHFFFAOYSA-N","C[N+]1=CC=CC=C1C(=O)[O-]","1-methylpyridin-1-ium-2-carboxylate","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyridines_and_derivatives; subclass: Pyridinecarboxylic_acids_and_derivatives; level 5: Pyridinecarboxylic_acids; level 6: Pyridinecarboxylic_acids; level 7: Pyridinecarboxylic_acids; level 8: Pyridinecarboxylic_acids"
"Homocysteine thiolactone","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Homocysteine Thiolactone","Homocysteine thiolactone","C4H7NOS",2.78,118.032661,"[M+H]",NA,"ChEBI:60315","HILICPos",NA,4,"Mix1",170331,NA,"Homocysteine thiolactone",NA,134505,"C4H7NOS","KIWQWJKWBHZMDT-VKHMYHEASA-N","C1CSC(=O)C1N","(3S)-3-aminothiolan-2-one","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids_and_derivatives; level 8: Alpha_amino_acids_and_derivatives"
"L-Homocystine","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Homocystine","Homocystine","C8H16N2O4S2",12.58,269.062977,"[M+H]","cpd:C01817","ChEBI:89698","HILICPos",NA,4,"Mix1",170331,"L-Homocystine; Homocystine","Homocystine","ChEBI:141698",439579,"C8H16N2O4S2","ZTVZLYBCZNMWCF-WDSKDSINSA-N","C(CSSCCC(C(=O)O)N)C(C(=O)O)N","(2S)-2-amino-4-[[(3S)-3-amino-3-carboxypropyl]disulfanyl]butanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"L-Homoserine","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Homoserine","Homoserine","C4H9NO3",11.32,120.066069,"[M+H]","cpd:C00263","ChEBI:15699","HILICPos",NA,4,"Mix1",170331,"L-Homoserine; 2-Amino-4-hydroxybutyric acid","Homoserine","ChEBI:15699",12647,"C4H9NO3","UKAUYVFTDYCKQA-VKHMYHEASA-N","C(CO)C(C(=O)O)N","(2S)-2-amino-4-hydroxybutanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"(S)-3-Hydroxybutyryl-CoA","HILIC",-1,"100 - >10000","0.622","20.4","20 - >10000","1.021","22.2","Co-enzyme A","Hydroxybutyryl CoA","Hydroxybutyryl CoA","C25H42N7O18P3S",11.545,852.144174,"[M-H]","cpd:C01144","ChEBI:15453","HILICNeg",NA,4,"Mix1",160401,"(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA","Hydroxybutyryl CoA","ChEBI:15453",439419,"C25H42N7O18P3S","QHHKKMYHDBRONY-BEVJUKKNSA-N","CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O","S-[2-[3-[[4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (3S)-3-hydroxybutanethioate",NA
"L-Hydroxylysine","HILIC",1,"10000 - >10000","0.796","25.4","20 - >10000","0.974","18.8","Amino Acid - collagen","Hydroxylysine","Hydroxylysine","C6H14N2O3",16.37,163.108268,"[M+H]","cpd:C16741","ChEBI:21994","HILICPos",NA,4,"Mix1",160401,"L-Hydroxylysine; 5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine; (5R)-5-Hydroxy-L-lysine","Hydroxylysine","ChEBI:18040",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"Hypotaurine","HILIC",1,NA,NA,NA,NA,NA,NA,"Sulfur","Hypotaurine","Hypotaurine","C2H7NO2S",11.36,110.027576,"[M+H]","cpd:C00519","ChEBI:16668","HILICPos",NA,4,"Mix2",160401,"Hypotaurine; 2-Aminoethanesulfinic acid","Hypotaurine","ChEBI:16668",107812,"C2H7NO2S","VVIUBCNYACGLLV-UHFFFAOYSA-N","C(CS(=O)O)N","2-aminoethanesulfinic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Sulfinic_acids_and_derivatives; subclass: Sulfinic_acids; level 5: Sulfinic_acids; level 6: Sulfinic_acids; level 7: Sulfinic_acids; level 8: Sulfinic_acids"
"Indole-3-carbinol","HILIC",-1,"100 - >10000","1.007","10.1","500 - >10000","0.973","16.3","Phytohormone","Indole 3 carbinol","Indole-3-carbinol","C9H9NO",2.395,146.060589,"[M-H]",NA,"ChEBI:24814","HILICNeg",NA,4,"Mix2",160401,NA,"Indole 3 carbinol",NA,3712,"C9H9NO","IVYPNXXAYMYVSP-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CO","1H-indol-3-ylmethanol","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Indoles_and_derivatives; subclass: Indoles; level 5: 3-alkylindoles; level 6: 3-alkylindoles; level 7: 3-alkylindoles; level 8: 3-alkylindoles"
"Indolepyruvic acid","HILIC",-1,"500 - >10000","0.662","5.1","NA - 1000","1.377","30.4","Phytohormone","Indole 3 Pyruvic Acid","Indole 3 Pyruvic Acid","C11H9NO3",2.375,202.050419,"[M-H]","cpd:C00331","ChEBI:29750","HILICNeg",NA,4,"Mix2",160401,"Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate","Indolepyruvic acid","ChEBI:29750",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Indoles_and_derivatives; subclass: Indolyl_carboxylic_acids_and_derivatives; level 5: Indolyl_carboxylic_acids_and_derivatives; level 6: Indolyl_carboxylic_acids_and_derivatives; level 7: Indolyl_carboxylic_acids_and_derivatives; level 8: Indolyl_carboxylic_acids_and_derivatives"
"Isethionic acid","HILIC",-1,"<10 - 1000","0.758","17.5","<10 - 1000","0.747","6.1","Sulfur","Isethionic Acid","Isethionic Acid","C2H6O4S",7.2,124.990857,"[M-H]","cpd:C05123","ChEBI:1157","HILICNeg",NA,4,"Mix2",160401,"2-Hydroxyethanesulfonate; 2-Hydroxyethanesulfonic acid; 2-Hydroxyethane-1-sulfonic acid; Isethionic acid; Isethionate","Isethionic acid","ChEBI:1157",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_sulfonic_acids_and_derivatives; subclass: Organosulfonic_acids_and_derivatives; level 5: Organosulfonic_acids; level 6: Organosulfonic_acids; level 7: Organosulfonic_acids; level 8: Organosulfonic_acids"
"Isethionic acid, 13C2","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Isethionic Acid, 13C2","Isethionic Acid, 13C2","C(13)2H6O4S",7.2,126.9981,"[M-H]",NA,NA,"HILICNeg",NA,0.5,NA,160401,NA,"Isethionic Acid 13C2",NA,NA,NA,NA,NA,NA,NA
"Isocitric acid","HILIC",-1,"500 - >10000","0.929","44.7","20 - >10000","0.982","18.4","Organic Acid","Isocitric Acid","Isocitric acid","C6H8O7",15.65,191.01918,"[M-H]","cpd:C00311","ChEBI:30887","HILICNeg",NA,4,"Mix1",160401,"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid","Isocitric acid","ChEBI:16087",1198,"C6H8O7","ODBLHEXUDAPZAU-UHFFFAOYSA-N","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","1-hydroxypropane-1,2,3-tricarboxylic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Tricarboxylic_acids_and_derivatives; level 5: Tricarboxylic_acids_and_derivatives; level 6: Tricarboxylic_acids_and_derivatives; level 7: Tricarboxylic_acids_and_derivatives; level 8: Tricarboxylic_acids_and_derivatives"
"L-Isoleucine","HILIC",1,"1000 - >10000","0.681","14.7","100 - >10000","0.956","9.3","Amino Acid","Isoleucine","Isoleucine","C6H13NO2",8.17,132.102454,"[M+H]","cpd:C00407","ChEBI:17191","HILICPos",NA,4,"Mix1",160401,"L-Isoleucine; 2-Amino-3-methylvaleric acid","Isoleucine","ChEBI:17191",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Isoleucine_and_derivatives; level 8: Isoleucine_and_derivatives"
"2-keto-4-methylthiobutyric acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New","Keto-?-(methylthio)butyric acid","Keto-?-(methylthio)butyric acid","C5H7O3S",2.59,147.011592,"[M]","cpd:C01180",NA,"HILICNeg",NA,5,"Mix1",170331,"4-Methylthio-2-oxobutanoic acid; 4-Methylthio-2-oxobutanoate; 4-(Methylsulfanyl)-2-oxobutanoate; 2-Keto-4-methylthiobutyric acid; 2-Oxo-4-methylthiobutanoate; 2-Oxo-4-methylthiobutanoic acid","Keto  methylthio butyric acid","ChEBI:16723",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acids_and_conjugates; level 5: Thia_fatty_acids; level 6: Thia_fatty_acids; level 7: Thia_fatty_acids; level 8: Thia_fatty_acids"
"2-Ketoglutaric acid","HILIC",-1,"1000 - >10000","0.867","14.7","500 - >10000","1.114","5.9","Organic Acid","Ketoglutaric Acid","Ketoglutaric Acid","C5H6O5",10.845,145.0137,"[M-H]","cpd:C00026","ChEBI:30915","HILICNeg",NA,4,"Mix1",160401,"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid","Ketoglutaric Acid","ChEBI:16810",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Keto_acids_and_derivatives; subclass: Gamma-keto_acids_and_derivatives; level 5: Gamma-keto_acids_and_derivatives; level 6: Gamma-keto_acids_and_derivatives; level 7: Gamma-keto_acids_and_derivatives; level 8: Gamma-keto_acids_and_derivatives"
"L-Kynurenine","HILIC",1,NA,NA,NA,NA,NA,NA,"Amino Acid","Kynurenine","Kynurenine","C10H12N2O3",4.345,209.092618,"[M+H]","cpd:C00328","ChEBI:16946","HILICPos",NA,NA,NA,160401,"L-Kynurenine; 3-Anthraniloyl-L-alanine","Kynurenine","ChEBI:16946",161166,"C10H12N2O3","YGPSJZOEDVAXAB-QMMMGPOBSA-N","C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N","(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbonyl_compounds; level 5: Ketones; level 6: Aryl_ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones"
"L-Cysteic acid, 2H3","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","L-Cysteic Acid, D3","Cysteic Acid, D3","C3D3H4NO5S",12.15,171.0161,"[M-H]",NA,NA,"HILICNeg",NA,1,NA,160401,NA,"Cysteic Acid D3",NA,NA,NA,NA,NA,NA,NA
"L-Leucine","HILIC",1,"1000 - >10000","0.895","10.3","20 - >10000","0.743","4","Amino Acid","Leucine","Leucine","C6H13NO2",7.63,132.102454,"[M+H]","cpd:C00123","ChEBI:15603","HILICPos",NA,4,"Mix1",160401,"L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine","Leucine","ChEBI:15603",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Leucine_and_derivatives; level 8: Leucine_and_derivatives"
"L-Homocysteine","HILIC",1,"100 - >10000","0","dl","100 - >10000","0","dl","Amino Acid synthesis","L-Homocysteine","Homocysteine","C4H9NO2S",8.7,136.043226,"[M+H]","cpd:C00155","ChEBI:17588","HILICPos",NA,4,"Mix2",160401,"L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine","Homocysteine","ChEBI:17588",91552,"C4H9NO2S","FFFHZYDWPBMWHY-VKHMYHEASA-N","C(CS)C(C(=O)O)N","(2S)-2-amino-4-sulfanylbutanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"Lipoic acid","HILIC",-1,"500 - >10000","0.93","14.2","20 - >10000","1.022","7.8","Organic Acid","Lipoic Acid","Lipoic acid","C8H14O2S2",2.42,205.035699,"[M-H]","cpd:C00725","ChEBI:16494","HILICNeg",NA,4,"Mix1",160401,"Lipoate; Lipoic acid; Thioctic acid; dl-alpha-Lipoic acid; DL-Thioctic acid","Lipoic acid","ChEBI:16494",6112,"C8H14O2S2","AGBQKNBQESQNJD-SSDOTTSWSA-N","C1CSSC1CCCCC(=O)O","5-[(3R)-dithiolan-3-yl]pentanoic acid","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Dithiolanes; subclass: Lipoic_acids_and_derivatives; level 5: Lipoic_acids_and_derivatives; level 6: Lipoic_acids_and_derivatives; level 7: Lipoic_acids_and_derivatives; level 8: Lipoic_acids_and_derivatives"
"L-Isoleucine, 15N","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","L-Isoleucine, 15N","Isoleucine, 15N","C6H13N(15)O2",8.17,133.0989,"[M+H]",NA,NA,"HILICPos",NA,0.5,NA,160401,NA,"Isoleucine 15N",NA,NA,NA,NA,NA,NA,NA
"L-Methionine, 2H3","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","L-Methionine, D3","Methionine, D3","C5D3H8NO2S",7.96,153.0771,"[M+H]",NA,NA,"HILICPos",NA,1,NA,160401,NA,"Methionine D3",NA,NA,NA,NA,NA,NA,NA
"5-Oxoproline","HILIC",-1,NA,NA,NA,NA,NA,NA,"New2","L-Pyroglutamic acid","Pidolic acid","C5H7NO3",7.97,128.034768,"[M-H]","cpd:C01879","ChEBI:16010","HILICNeg",NA,4,"Mix1",180130,"5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid","Pidolic acid","ChEBI:18183",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids_and_derivatives; level 8: Alpha_amino_acids_and_derivatives"
"5-Oxoproline","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","L-Pyroglutamic acid","Pidolic acid","C5H7NO3",7.97,130.050419,"[M+H]","cpd:C01879","ChEBI:16010","HILICPos",NA,4,"Mix1",180130,"5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid","Pidolic acid","ChEBI:18183",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids_and_derivatives; level 8: Alpha_amino_acids_and_derivatives"
"L-Lysine","HILIC",1,"10000 - >10000","0.822","20","<10 - >10000","0.967","13.1","Amino Acid","Lysine","Lysine","C6H14N2O2",17.5,147.113353,"[M+H]","cpd:C00047","ChEBI:18019","HILICPos",NA,4,"Mix1",160401,"L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid","Lysine","ChEBI:18019",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"Malic acid","HILIC",-1,"100 - >10000","0.725","17.8","100 - 1000","0.982","21.4","Organic Acid","Malic Acid","Malic acid","C4H6O5",11.97,133.0137,"[M-H]","cpd:C00149","ChEBI:6650","HILICNeg",NA,4,"Mix1",160401,"(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid","Malic acid","ChEBI:15589",525,"C4H6O5","BJEPYKJPYRNKOW-UHFFFAOYSA-N","C(C(C(=O)O)O)C(=O)O","2-hydroxybutanedioic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Hydroxy_acids_and_derivatives; subclass: Beta_hydroxy_acids_and_derivatives; level 5: Beta_hydroxy_acids_and_derivatives; level 6: Beta_hydroxy_acids_and_derivatives; level 7: Beta_hydroxy_acids_and_derivatives; level 8: Beta_hydroxy_acids_and_derivatives"
"Malonyl-CoA","HILIC",-1,"100 - >10000","0.441","50","100 - >10000","0.281","10.7","Co-enzyme A","Malonyl CoA","Malonyl-CoA","C24H38N7O19P3S",13.525,852.107789,"[M-H]","cpd:C00083","ChEBI:15531","HILICNeg",NA,4,"Mix1",160401,"Malonyl-CoA; Malonyl coenzyme A","Malonyl CoA","ChEBI:15531",644066,"C24H38N7O19P3S","LTYOQGRJFJAKNA-DVVLENMVSA-N","CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O","3-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-oxopropanoic acid","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: Acyl_CoAs; level 7: Acyl_CoAs; level 8: Acyl_CoAs"
