"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"Taurine",126.022491,11.12,1,"HILIC","Mix2",4,"[M+H]","Aq","Sulfur","C2H7NO3S","C2H7NO3S",1123,"cpd:C00245","Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid","ChEBI:15891","2-aminoethanesulfonic acid","XOAAWQZATWQOTB-UHFFFAOYSA-N","C(CS(=O)(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids","Taurine","Taurine","Taurine",160401,FALSE
"Nicotinic acid",124.039854,2.68,1,"HILIC","Mix2",4,"[M+H]","Aq","Vitamin","C6H5NO2","C6H5NO2",938,"cpd:C00253","Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid","ChEBI:15940","pyridine-3-carboxylic acid","PVNIIMVLHYAWGP-UHFFFAOYSA-N","C1=CC(=CN=C1)C(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyridines and derivatives; subclass: Pyridinecarboxylic acids and derivatives; level 5: Pyridinecarboxylic acids; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyridines and derivatives; subclass: Pyridinecarboxylic acids and derivatives; level 5: Pyridinecarboxylic acids","Vitamin B3","Vit B3","Nicotinic acid",160401,FALSE
"Thiamine monophosphate",345.078641,11.5,1,"HILIC","Mix1",4,"[M]","Aq","Vitamin (B1-derivative)","C12H18N4O4PS","C12H18N4O4PS+",1131,"cpd:C01081","Thiamin monophosphate; Thiamine monophosphate; Thiamin phosphate; Thiamine phosphate; TMP","ChEBI:9533","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl dihydrogen phosphate","HZSAJDVWZRBGIF-UHFFFAOYSA-O","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Thiamines; level 6: Thiamine phosphates; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Thiamines; level 6: Thiamine phosphates","Thiamine monophosphate","TMP","Thiamine monophosphate",160401,TRUE
"Thiamine diphosphate",425.044974,13.765,1,"HILIC","Mix1",4,"[M]","Aq","Vitamin (B1-derivative)","C12H19N4O7P2S","C12H19N4O7P2S+",1132,"cpd:C00068","Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP","ChEBI:9532","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl phosphono hydrogen phosphate","AYEKOFBPNLCAJY-UHFFFAOYSA-O","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Thiamines; level 6: Thiamine phosphates; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Thiamines; level 6: Thiamine phosphates","Thiamine pyrophosphate","TPP","Thiamine diphosphate",160401,TRUE
"Choline",104.107539,15.265,1,"HILIC","Mix1",4,"[M]","Aq","Betaine","C5H14NO","C5H14NO+",305,"cpd:C00114","Choline; Bilineurine","ChEBI:15354","2-hydroxyethyl(trimethyl)azanium","OEYIOHPDSNJKLS-UHFFFAOYSA-N","C[N+](C)(C)CCO","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines; kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines","Choline","Choline","Choline",160401,TRUE
"L-Kynurenine",209.092618,1.27,1,"RP",NA,0.25,"[M+H]","Aq","Amino Acid","C10H12N2O3","C10H12N2O3",161166,"cpd:C00328","L-Kynurenine; 3-Anthraniloyl-L-alanine","ChEBI:16946","(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid","YGPSJZOEDVAXAB-QMMMGPOBSA-N","C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones","Kynurenine","Kynurenine","Kynurenine",160401,TRUE
"L-Phenylalanine",166.086804,1.15,1,"RP",NA,0.25,"[M+H]","Aq","Amino Acid","C9H11NO2",NA,NA,"cpd:C00079","L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid","ChEBI:17295","(2S)-2-amino-3-phenylpropanoic acid","COLNVLDHVKWLRT-QMMMGPOBSA-N","C1=CC=C(C=C1)CC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Phenylalanine and derivatives","Phenylalanine","Phenylalanine","Phenylalanine",160401,TRUE
"L-Tryptophan",205.097703,2.07,1,"RP",NA,0.25,"[M+H]","Aq","Amino Acid","C11H12N2O2",NA,NA,"cpd:C00078","L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid","ChEBI:16828","(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid","QIVBCDIJIAJPQS-VIFPVBQESA-N","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indolyl carboxylic acids and derivatives","Tryptophan","Tryptophan","Tryptophan",160401,TRUE
"L-Tyrosine",182.081719,1.01,1,"RP",NA,NA,"[M+H]","Aq","Amino Acid","C9H11NO3",NA,NA,"cpd:C00082","L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine","ChEBI:17895","(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid","OUYCCCASQSFEME-QMMMGPOBSA-N","C1=CC(=CC=C1CC(C(=O)O)N)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Tyrosine and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Tyrosine and derivatives","Tyrosine","Tyrosine","Tyrosine",160401,FALSE
"Glycine betaine",118.086804,0.71,1,"RP",NA,0.25,"[M+H]","Aq","Betaine","C5H11NO2",NA,NA,"cpd:C00719","Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate","ChEBI:17750","2-(trimethylazaniumyl)acetate","KWIUHFFTVRNATP-UHFFFAOYSA-N","C[N+](C)(C)CC(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Betaine","Glycine betaine","Glycine betaine",160401,FALSE
"Dimethylglycine",104.071154,0.69,1,"RP",NA,0.25,"[M+H]","Aq","Amino Acid derivative","C4H9NO2",NA,NA,"cpd:C01026","N,N-Dimethylglycine; Dimethylglycine","ChEBI:17724","2-(dimethylamino)acetic acid","FFDGPVCHZBVARC-UHFFFAOYSA-N","CN(C)CC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Dimethyl glycine","DMG","Dimethylglycine",160401,FALSE
"S-Adenosylhomocysteine",385.129416,0.96,1,"RP",NA,0.25,"[M+H]","Aq","Amino Acid synthesis","C14H20N6O5S",NA,NA,"cpd:C00021","S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine","ChEBI:16680","(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid","ZJUKTBDSGOFHSH-WFMPWKQPSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides","Adenosyl Homocysteine","SAH","SAH",160401,TRUE
"S-Adenosylmethionine",399.145066,0.71,1,"RP",NA,0.25,"[M+H]","Aq","Amino Acid synthesis","C15H22N6O5S","C15H22N6O5S",34755,"cpd:C00019","S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM","ChEBI:15414","(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate","MEFKEPWMEQBLKI-AIRLBKTGSA-N","C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides","Adenosyl Methionine","SAM","SAM",160401,TRUE
"Monesin",693.418985,11.79,1,"RP",NA,0.25,"[M+H]","Aq","Antibiotic","C36H61NaO11","C36H62O11",12912909,"cpd:C06693","Monensin; Monensin A","ChEBI:27617","(2S,3S,4R)-4-[(2S,7S,8R,9S)-2-[(2R,5S)-5-ethyl-5-[(2R,3S,5R)-5-[(2S,3S,5R,6R)-6-hydroxy-6-(hydroxymethyl)-3,5-dimethyloxan-2-yl]-3-methyloxolan-2-yl]oxolan-2-yl]-7-hydroxy-2,8-dimethyl-1,10-dioxaspiro[4.5]decan-9-yl]-3-methoxy-2-methylpentanoic acid","GAOZTHIDHYLHMS-QVJPPVPRSA-N","CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C",NA,"Monesin","Monesin","Monesin",160401,TRUE
"Thiotropocin",212.968013,6.47,1,"RP",NA,0.25,"[M+H]","Aq","Antibiotic","C8H4O3S2","C8H4O3S2",55977,"cpd:C12105","Thiotropocin","ChEBI:29694","8-sulfanylcyclohepta[c]oxathiole-3,4-dione","RWJXTYSZCDAMCD-UHFFFAOYSA-N","C1=CC(=O)C2=C(C(=C1)S)SOC2=O","kingdom: Organic compounds; superclass: Hydrocarbon derivatives; class: Tropones","Tropodithietic acid","Thiotropocin","Thiotropocin",160401,TRUE
"Glutathione",308.091634,0.87,1,"RP",NA,0.25,"[M+H]","Aq","Antioxidant","C10H17N3O6S","C10H17N3O6S",124886,"cpd:C00051","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione","ChEBI:16856","(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid","RWSXRVCMGQZWBV-WDSKDSINSA-N","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides","Glutathione","Glutathione","Glutathione",160401,FALSE
"Trolox",NA,7,-1,"RP",NA,NA,NA,"Aq","Antioxidant","C14H18O4","C14H18O4",40634,NA,NA,NA,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid","GLEVLJDDWXEYCO-UHFFFAOYSA-N","CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Benzopyrans; subclass: 1-benzopyrans","Trolox","Trolox","Trolox",160401,TRUE
"beta-Carotene",536.4382,16.42,1,"RP",NA,0.25,"[M]","Org","Antioxidant pigment","C40H56","C40H56",5280489,"cpd:C02094","beta-Carotene; all-trans-beta-Carotene","ChEBI:17579","1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene","OENHQHLEOONYIE-JLTXGRSLSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Tetraterpenoids; level 5: Carotenoids; level 6: Carotenes; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Tetraterpenoids; level 5: Carotenoids; level 6: Carotenes","Carotene","b-Carotene","beta Carotene",160401,NA
"Melatonin",233.129003,6.51,1,"RP",NA,0.25,"[M+H]","Aq","Circadian","C13H16N2O2","C13H16N2O2",896,"cpd:C01598","Melatonin; N-Acetyl-5-methoxytryptamine","ChEBI:16796","N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide","DRLFMBDRBRZALE-UHFFFAOYSA-N","CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indoles; level 5: 3-alkylindoles","Melatonin","Melatonin","Melatonin",160401,TRUE
"Docosahexaenoic acid",329.248055,12.23,1,"RP",NA,0.25,"[M+H]","Org","Fatty Acid","C22H32O2","C22H32O2",445580,"cpd:C06429","(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid; Docosahexaenoate; 4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoic acid; (4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoic acid","ChEBI:28125","(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid","MBMBGCFOFBJSGT-KUBAVDMBSA-N","CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Very long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Very long-chain fatty acids","DHA","DHA","Docosahexaenoic acid",160401,NA
"Arachidonic acid",305.248055,12.15,1,"RP",NA,0.25,"[M+H]","Org","Fatty Acid","C20H32O2","C20H32O2",444899,"cpd:C00219","Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid","ChEBI:15843","(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid","YZXBAPSDXZZRGB-DOFZRALJSA-N","CCCCCC=CCC=CCC=CCC=CCCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids","Arachidonic Acid","ARA","Arachidonic acid",160401,NA
"Eicosapentaenoic acid",303.232404,12.095,1,"RP",NA,1,"[M+H]","Org","Fatty Acid","C20H30O2","C20H30O2",446284,"cpd:C06428","(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoate; 5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoic acid","ChEBI:28364","(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid","JAZBEHYOTPTENJ-JLNKQSITSA-N","CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids","EPA","EPA","Eicosapentaenoic acid",160401,NA
"alpha-Tocopherol, 2H6",436.4182,14.725,1,"RP",NA,5,"[M+H]","Org","Internal Standard","C29D6H44O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alpha-Tocopherol, D6","alpha-Tocopherol, 2H6","alpha Tocopherol 2H6",170301,NA
"Arachidonic acid, 2H8",313.2977,12.15,1,"RP",NA,20,"[M+H]","Org","Internal Standard","C20D8H24O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachiodonic Acid, D8","Arachidonic acid, 2H8","Arachidonic acid 2H8",160401,NA
"Docosahexaenoic acid, 2H5",334.2789,12.23,1,"RP",NA,2,"[M+H]","Org","Internal Standard","C22H28D5O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Docosahexaenoic Acid, D5","Docosahexaenoic acid, 2H5","Docosahexaenoic acid 2H5",170301,NA
"Eicosapentaenoic acid, 2H5",308.2632,12.095,1,"RP",NA,5,"[M+H]","Org","Internal Standard","C20H26D5O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eicosapentaenoic Acid, D5","Eicosapentaenoic acid, 2H5","Eicosapentaenoic acid 2H5",170301,NA
"Indole-3-acetic acid, 2H5",181.1021,5.35,1,"RP",NA,5,"[M+H]","Aq","Internal Standard","C10D5H4NO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indole 3 Acetic Acid, D5","Indole-3-acetic acid, 2H5","Indole 3 acetic acid 2H5",160401,TRUE
"L-Phenylalanine, 2H8",174.1365,1.15,1,"RP",NA,0.1,"[M+H]","Aq","Internal Standard","C9D8H3O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Phenylalanine, D8","L-Phenylalanine, 2H8","L Phenylalanine 2H8",160401,TRUE
"L-Tryptophan, 2H3",208.1161,2.23,1,"RP",NA,0.1,"[M+H]","Aq","Internal Standard","C11D3H9N2O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Tryptophan, D3","L-Tryptophan, 2H3","L Tryptophan 2H3",160401,TRUE
"Pyridoxal, 2H3",171.0843,0.86,1,"RP",NA,0.2,"[M+H]","Aq","Internal Standard","C8D3H7NO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pyridoxal, D3","Pyridoxal, 2H3","Pyridoxal 2H3",170301,TRUE
"Riboflavin-dioxopyrimidine, 13C4, 15N2",383.1531,4.39,1,"RP",NA,0.1,"[M+H]","Aq","Internal Standard","C(13)4C13H20N(15)2N2O6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riboflavin-dioxopyrimidine, 13C4, 15N2","Vitamin B2, 13C4, 15N2","Vitamin B12 13C4 15N2",160401,TRUE
"Thiamine, 13C3",269.1252,0.69,1,"RP",NA,0.2,"[M]","Aq","Internal Standard","C(13)4C8H17N4OS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thiamine Hydrochloride, 13C3","Thiamine, 13C3","Thiamine 13C3",170301,TRUE
"Tryptamine, 2H4",165.1325,2.55,1,"RP",NA,2.5,"[M+H]","Aq","Internal Standard","C10D4H8N2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tryptamine Hydrochloride, D4","Tryptamine, 2H4","Tryptamine 2H4",160401,TRUE
"3,4-Dihydroxybenzoic acid",153.018785,2.55,-1,"RP",NA,1.25,"[M]","Aq","Lignin","C7H5O4","C7H6O4",72,"cpd:C00230","3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid","ChEBI:36062","3,4-dihydroxybenzoic acid","YQUVCSBJEUQKSH-UHFFFAOYSA-N","C1=CC(=C(C=C1C(=O)O)O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Hydroxybenzoic acid derivatives","3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid","Dihydroxybenzoic acid",160401,TRUE
"4-Aminobenzoic acid",138.055503,2,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C7H7NO2","C7H7NO2",978,"cpd:C00568","4-Aminobenzoate; ABEE; 4-Aminobenzoic acid; p-Aminobenzoate","ChEBI:17836","4-aminobenzoic acid","ALYNCZNDIQEVRV-UHFFFAOYSA-N","C1=CC(=CC=C1C(=O)O)N","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Aminobenzoic acids and derivatives; level 6: Aminobenzoic acids","Aminobenzoic Acid","PABA","PABA",160401,TRUE
"p-Coumaric acid",165.05517,5.385,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C9H8O3",NA,NA,"cpd:C00811","4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate","ChEBI:32374","(E)-3-(4-hydroxyphenyl)prop-2-enoic acid","NGSWKAQJJWESNS-ZZXKWVIFSA-N","C1=CC(=CC=C1C=CC(=O)O)O","kingdom: Organic compounds; superclass: Phenylpropanoids and polyketides; class: Cinnamic acids and derivatives; subclass: Hydroxycinnamic acids and derivatives; level 5: Hydroxycinnamic acids","p-Coumaric Acid","p-Coumaric acid","p Coumaric acid",160401,TRUE
"Sinapic acid",225.0763,5.985,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C11H12O5","C11H12O5",637775,"cpd:C00482","Sinapate; Sinapic acid; 3,5-Dimethoxy-4-hydroxycinnamic acid","ChEBI:15714","(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid","PCMORTLOPMLEFB-ONEGZZNKSA-N","COC1=CC(=CC(=C1O)OC)C=CC(=O)O","kingdom: Organic compounds; superclass: Phenylpropanoids and polyketides; class: Cinnamic acids and derivatives; subclass: Hydroxycinnamic acids and derivatives; level 5: Hydroxycinnamic acids","Sinapic Acid","Sinapic acid","Sinapic acid",160401,TRUE
"trans-Cinnamic acid",131.04969,6.2,1,"RP",NA,0.25,"[M-OH]","Aq","Lignin","C9H8O2",NA,NA,"cpd:C00423","trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate","ChEBI:15669","(E)-3-phenylprop-2-enoic acid","WBYWAXJHAXSJNI-VOTSOKGWSA-N","C1=CC=C(C=C1)C=CC(=O)O","kingdom: Organic compounds; superclass: Phenylpropanoids and polyketides; class: Cinnamic acids and derivatives; subclass: Cinnamic acids","trans cinnamic acid","trans-Cinnamic acid","trans Cinnamic acid",160401,TRUE
"Vanillic acid",169.050085,4.115,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C8H8O4","C8H8O4",8468,"cpd:C06672","Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid","ChEBI:16632","4-hydroxy-3-methoxybenzoic acid","WKOLLVMJNQIZCI-UHFFFAOYSA-N","COC1=C(C=CC(=C1)C(=O)O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Methoxybenzoic acids and derivatives; level 6: M-methoxybenzoic acids and derivatives","Vanillic Acid","Vanillic acid","Vanillic acid",160401,TRUE
"4-hydroxybenzaldehyde",NA,3.775,-1,"RP",NA,0.25,NA,"Aq","Lignin","C7H6O2",NA,NA,"cpd:C00633","4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde","ChEBI:17597","4-hydroxybenzaldehyde","RGHHSNMVTDWUBI-UHFFFAOYSA-N","C1=CC(=CC=C1C=O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Aldehydes; level 6: Aryl-aldehydes; level 7: Benzaldehydes; level 8: Hydroxybenzaldehydes","4-hydroxybenzaldehyde","4-hydroxybenzaldehyde","Hydroxybenzaldehyde",160401,TRUE
"Acetosyringone",197.081385,5.765,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C10H12O4","C10H12O4",17198,"cpd:C10664","Acetosyringone","ChEBI:2404","1-(4-hydroxy-3,5-dimethoxyphenyl)ethanone","OJOBTAOGJIWAGB-UHFFFAOYSA-N","CC(=O)C1=CC(=C(C(=C1)OC)O)OC","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones","Acetosyringone","Acetosyringone","Acetosyringone",160401,TRUE
