"C0","Latest.ChEBI","Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","name"
"cpd:C00253","ChEBI:15940","Vitamin","HILIC","Nicotinic acid","Vitamin B3","Vit B3","Nicotinic acid",NA,"0.989","7.1",NA,"1.071","9.4","C6H5NO2",2.68,124.039854,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:15940","Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid","Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid"
"cpd:C00864","ChEBI:29032","Vitamin","RP","Pantothenic acid","Vitamin B5","Vit B5","Pantothenic acid","May-00","0.403","10.7","<0.5 - 5000","0.103","12.5","C9H17NO5",1.17,220.118498,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:7916","Pantothenate; Pantothenic acid; (R)-Pantothenate","Pantothenate; Pantothenic acid; (R)-Pantothenate"
"cpd:C00314","ChEBI:16709","Vitamin","RP","Pyridoxol","Vitamin B6","Pyridoxol","Pyridoxol","5 - >10000","0.286","2.6","5000 - 5000","0.25","3.4","C8H11NO3",0.88,170.081719,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16709","Pyridoxine; Pyridoxol","Pyridoxine; Pyridoxol"
"cpd:C00120","ChEBI:15956","Vitamin","RP","Biotin","Vitamin B7","Vit B7","Biotin","50 - >10000","0.788","5.1","5 - >10000","0.718","1.9","C10H16N2O3S",3.75,245.09599,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15956","Biotin; D-Biotin; Vitamin H; Coenzyme R","Biotin; D-Biotin; Vitamin H; Coenzyme R"
"cpd:C00504","ChEBI:27470","Vitamin","RP","Folic acid","Vitamin B9","Vit B9","Folic acid","50 - >10000","1.19","3.9","5 - >10000","0.873","3.4","C19H19N7O6",4.51,442.147508,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:27470","Folate; Pteroylglutamic acid; Folic acid","Folate; Pteroylglutamic acid; Folic acid"
"cpd:C00072","ChEBI:29073","Vitamin","RP","Ascorbic acid","Vitamin C","Vit C","Ascorbic acid",NA,NA,NA,NA,NA,NA,"C6H8O6",0.8,NA,NA,-1,"CyanoAq","CyanoDCM",1,NA,160401,"ChEBI:29073","Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C","Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C"
"cpd:C05441","ChEBI:28934","Vitamin (fat soluble)","RP","Calciferol","Vitamin D2","Vit D2","Calciferol","500 - >10000","0.409","12.7","50 - >10000","0.54","5.1","C28H44O",13.75,397.34704,"[M+H]",1,"CyanoAq","CyanoDCM",1,NA,160401,"ChEBI:28934","Vitamin D2; Ergocalciferol","Vitamin D2; Ergocalciferol"
"cpd:C02059","ChEBI:18067","Quinone","RP","Phytonadione","Vitamin K1","Vit K1","Phytonadione","50 - >10000","0.903","12","<0.5 - >10000","0.683","8.2","C31H46O2",14.78,451.357605,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18067","Phylloquinone; Vitamin K1; Phytonadione; 2-Methyl-3-phytyl-1,4-naphthoquinone","Phylloquinone; Vitamin K1; Phytonadione; 2-Methyl-3-phytyl-1,4-naphthoquinone"
"cpd:C00828","ChEBI:16374","Quinone","RP","Menaquinone","Vitamin K2","Vit K2","Menaquinone","50 - >10000","0.58","10.1","<0.5 - >10000","0.703","4.7","C31H40O2",14.14,445.310655,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16374","Menaquinone; Vitamin K2","Menaquinone; Vitamin K2"
"cpd:C00385","ChEBI:17712","Purine","RP","Xanthine","Xanthine","Xanthine","Xanthine",NA,"0.243","7.5",NA,"0.274","3.5","C5H4N4O2",1.11,153.041251,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15318","Xanthine","Xanthine"
"cpd:C00371","ChEBI:16522","Phytohormone","RP","Zeatin","Zeatin","Zeatin","Zeatin","nd","nd","nd","May-50","0.144","34.8","C10H13N5O",2.02,NA,NA,-1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16522","Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol; trans-Zeatin","Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol; trans-Zeatin"
"cpd:C05528","ChEBI:16894","Sulfur","HILIC","3-Sulfopyruvic acid","3-Sulfopyruvic Acid","3-Sulfopyruvic Acid","Sulfopyruvic Acid","1000 - >10000","1.078","23.1","20 - 1000","1.13","2.7","C3H4O6S",12.92,166.965037,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16894","3-Sulfopyruvate; 3-Sulfopyruvic acid","3-Sulfopyruvate; 3-Sulfopyruvic acid"
"cpd:C00332","ChEBI:15345","Co-enzyme A","HILIC","Acetoacetyl-CoA","Acetoacetyl CoA","Acetoacetyl CoA","Acetoacetyl CoA","100 - >10000","dl","dl","100 - >10000","0.055","69.1","C25H40N7O18P3S",10.6,850.128524,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15345","Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA","Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA"
"cpd:C00024","ChEBI:15351","Co-enzyme A","HILIC","Acetyl-CoA","Acetyl CoA","Acetyl-CoA","Acetyl CoA","20 - >10000","0.692","17.5","<10 - >10000","0.955","17.6","C23H38N7O17P3S",10.84,808.117959,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15351","Acetyl-CoA; Acetyl coenzyme A","Acetyl-CoA; Acetyl coenzyme A"
"cpd:C00417","ChEBI:16383","Organic Acid","HILIC","cis-Aconitic acid","Aconitic Acid","Aconitic acid","Aconitic acid","500 - 1000","1.196","22.6","<10 - 1000","1.175","15.5","C6H6O6",14.21,173.008615,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:32805","cis-Aconitate; cis-Aconitic acid","cis-Aconitate; cis-Aconitic acid"
"cpd:C00147","ChEBI:16708","Nucleic Acid","HILIC","Adenine","Adenine","Adenine","Adenine",NA,NA,NA,NA,NA,NA,"C5H5N5",4.72,136.06232,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16708","Adenine; 6-Aminopurine","Adenine; 6-Aminopurine"
"cpd:C00147","ChEBI:16708","Nucleic Acid","HILIC","Adenine","Adenine","Adenine","Adenine","100 - >10000","0.952","22.9","<10 - 1000","1.107","6.1","C5H5N5",4.72,134.0462,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:16708","Adenine; 6-Aminopurine","Adenine; 6-Aminopurine"
"cpd:C00212","ChEBI:16335","Nucleoside","HILIC","Adenosine","Adenosine","Adenosine","Adenosine",NA,NA,NA,NA,NA,NA,"C10H13N5O4",4.46,268.10458,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:16335","Adenosine","Adenosine"
"cpd:C00212","ChEBI:16335","Nucleoside","HILIC","Adenosine","Adenosine","Adenosine","Adenosine","500 - >10000","0.836","12.1","100 - >10000","0.811","22.1","C10H13N5O4",4.46,266.08948,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16335","Adenosine","Adenosine"
"cpd:C00008","ChEBI:16761","Energy charge","HILIC","Adenosine diphosphate","ADP","ADP","Adenosine diphosphate","100 - >10000","0.23","26.4","100 - >10000","1.108","17","C10H15N5O10P2",12.09,426.021596,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16761","ADP; Adenosine 5'-diphosphate","ADP; Adenosine 5'-diphosphate"
"cpd:C00041","ChEBI:16977","Amino Acid","HILIC","L-Alanine","Alanine","Alanine","Alanine","1000 - >10000","0.903","8.5","20 - >10000","0.814","9.8","C3H7NO2",11.3,90.055504,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16977","L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine","L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine"
"cpd:C00334","ChEBI:16865","Amino Acid - degraded","HILIC","4-Aminobutyric acid","Aminobutyric Acid","Aminobutyric Acid","Aminobutyric Acid","1000 - >10000","0.868","14.2","20 - >10000","0.895","7.6","C4H9NO2",11.155,104.071154,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16865","4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA","4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA"
"cpd:C00020","ChEBI:16027","Energy charge","HILIC","Adenosine monophosphate","AMP","AMP","Adenosine monophosphate","100 - >10000","0.813","11.2","100 - >10000","1.035","8.4","C10H14N5O7P",11.585,346.055262,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16027","AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate","AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"
"cpd:C00062","ChEBI:16467","Amino Acid","HILIC","L-Arginine","Arginine","Arginine","Arginine","<10 - >10000","0.849","16.8","<10 - >10000","0.933","11.6","C6H14N4O2",17.93,175.119501,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16467","L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg","L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg"
"cpd:C03406","ChEBI:15682","New","HILIC"," L-Arginosuccinic acid","Argininosuccinic Acid","Argininosuccinic Acid","Argininosuccinic Acid",NA,NA,NA,NA,NA,NA,"C10H18N4O6",13.69,291.13046,"[M+H]",1,"HILICPos",NA,4,"Mix1",170331,"ChEBI:15682","N-(L-Arginino)succinate; 2-(Nomega-L-Arginino)succinate; L-Argininosuccinate; L-Argininosuccinic acid; L-Arginosuccinic acid","N-(L-Arginino)succinate; 2-(Nomega-L-Arginino)succinate; L-Argininosuccinate; L-Argininosuccinic acid; L-Arginosuccinic acid"
"cpd:C00152","ChEBI:17196","Amino Acid","HILIC","L-Asparagine","Asparagine","Asparagine","Asparagine","100 - >10000","0.824","16.1","20 - 1000","0.894","6.5","C4H8N2O3",11.86,133.061318,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:17196","L-Asparagine; 2-Aminosuccinamic acid","L-Asparagine; 2-Aminosuccinamic acid"
"cpd:C00049","ChEBI:17053","Amino Acid","HILIC","L-Aspartic acid","Aspartic acid","Aspartic acid","Aspartic acid","100 - >10000","0.899","37.3","100 - >10000","0.818","11.6","C4H7NO4",12.86,134.045334,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:17053","L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp","L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp"
"cpd:C00002","ChEBI:15422","Energy charge","HILIC","Adenosine triphosphate","ATP","ATP","Adenosine triphosphate","500 - >10000","0.209","75.8","100 - >10000","3.608","23.1","C10H16N5O13P3",15.35,505.987929,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:15422","ATP; Adenosine 5'-triphosphate","ATP; Adenosine 5'-triphosphate"
"cpd:C00575","ChEBI:17489","Intracellular signaling","HILIC","3',5'-Cyclic AMP","cAMP","cAMP","cAMP","100 - >10000","0.661","18.7","<10 - 1000","0.859","6.7","C10H12N5O6P",4.06,328.044698,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:17489","3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP","3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP"
"cpd:C00487","ChEBI:17126","New","HILIC","Carnitine","Carnitine","Carnitine","Carnitine",NA,NA,NA,NA,NA,NA,"C7H15NO3",10.21,162.113019,"[M+H]",1,"HILICPos",NA,1,"Mix1",170331,"ChEBI:17126","Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate","Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate"
"cpd:C00942","ChEBI:16356","Intracellular signaling","HILIC","3',5'-Cyclic GMP","cGMP","cGMP","cGMP","20 - >10000","0.598","19.1","<10 - >10000","0.822","6.4","C10H12N5O7P",8.8,344.039613,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16356","3',5'-Cyclic GMP; Guanosine 3',5'-cyclic monophosphate; Guanosine 3',5'-cyclic phosphate; Cyclic GMP; cGMP","3',5'-Cyclic GMP; Guanosine 3',5'-cyclic monophosphate; Guanosine 3',5'-cyclic phosphate; Cyclic GMP; cGMP"
"cpd:C01674","ChEBI:28681","Amino sugar","HILIC","Chitobiose","Chitobiose","Chitobiose","Chitobiose","100 - >10000","0.434","25.7","<10 - >10000","0.299","20.1","C16H28N2O11",10.21,425.177138,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:28681","Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose","Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose"
"cpd:C00158","ChEBI:16947","Organic Acid","HILIC","Citric acid","Citric Acid","Citric acid","Citric acid","500 - >10000","1.136","25","100 - >10000","0.934","6.9","C6H8O7",15.65,191.01918,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:30769","Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid","Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid"
"cpd:C00327","ChEBI:16349","New","HILIC","Citrulline","Citrulline","Citrulline","Citrulline",NA,NA,NA,NA,NA,NA,"C6H13N3O3",12.21,176.103517,"[M+H]",1,"HILICPos",NA,4,"Mix1",170331,"ChEBI:16349","L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline","L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline"
"cpd:C00300","ChEBI:16919","Organic Acid - nitrogenous","HILIC","Creatine","Creatine","Creatine","Creatine","20 - >10000","0.945","8.4","<10 - 1000","0.816","3.5","C4H9N3O2",11.34,132.077302,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16919","Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine","Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine"
"cpd:C00877","ChEBI:15473","Co-enzyme A","HILIC","Crotonoyl-CoA","Crotonyl CoA","Crotonoyl-CoA","Crotonoyl CoA","100 - >10000","0.444","19.8","100 - >10000","0.761","16.8","C25H40N7O17P3S",8.45,834.133609,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15473","Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA","Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA; (2E)-But-2-enoyl-CoA"
"cpd:C16463","ChEBI:49537","Intracellular signaling","HILIC","3',5'-Cyclic diGMP","Cyclic diGMP","Cyclic diGMP","Cyclic diGMP","100 - >10000","0.776","13.3","20 - >10000","0.886","15.8","C20H24N10O14P2",13.74,689.087051,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:49537","3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-guanylate","3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-guanylate"
"cpd:C02291","ChEBI:17482","Amino Acid synthesis","HILIC","L-Cystathionine","Cystathionine","Cystathionine","Cystathionine",NA,"0.74","18.3",NA,"0.829","18.5","C7H14N2O4S",13.14,223.075255,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:17482","L-Cystathionine","L-Cystathionine"
"cpd:C00506","ChEBI:17285","Sulfur","HILIC","L-Cysteic acid","Cysteic Acid","Cysteic acid","Cysteic acid","20 - >10000","0.834","13.6","100 - >10000","0.99","7.5","C3H7NO5S",12.15,167.996671,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:17285","L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid","L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid"
"cpd:C00097","ChEBI:17561","Amino Acid","HILIC","L-Cysteine","Cysteine","Cysteine","Cysteine",NA,NA,NA,NA,NA,NA,"C3H7NO2S",7,122.027576,"[M+H]",1,"HILICPos",NA,NA,NA,NA,"ChEBI:17561","L-Cysteine; L-2-Amino-3-mercaptopropionic acid","L-Cysteine; L-2-Amino-3-mercaptopropionic acid"
"cpd:C00491","ChEBI:16283","Amino Acid","HILIC","L-Cystine","Cystine","Cystine","Cystine","10000 - >10000","0.385","15.4","100 - >10000","0.261","15.1","C6H12N2O4S2",13.1,241.031677,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16283","L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid","L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid"
"cpd:C00475","ChEBI:17562","Nucleoside","HILIC","Cytidine","Cytidine","Cytidine","Cytidine","100 - >10000","0.348","18.4","100 - 1000","0.518","7.7","C9H13N3O5",8.55,242.077697,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:17562","Cytidine","Cytidine"
"cpd:C00475","ChEBI:17562","Nucleoside","HILIC","Cytidine","Cytidine","Cytidine","Cytidine",NA,NA,NA,NA,NA,NA,"C9H13N3O5",8.55,244.093347,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:17562","Cytidine","Cytidine"
"cpd:C00380","ChEBI:16040","Nucleic Acid","HILIC","Cytosine","Cytosine","Cytosine","Cytosine","10000 - >10000","dl","dl","500 - >10000","dl","dl","C4H5N3O",7.41,110.035437,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16040","Cytosine","Cytosine"
"cpd:C00380","ChEBI:16040","Nucleic Acid","HILIC","Cytosine","Cytosine","Cytosine","Cytosine",NA,NA,NA,NA,NA,NA,"C4H5N3O",7.41,112.051087,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:16040","Cytosine","Cytosine"
"cpd:C00111","ChEBI:16108","Calvin cycle intermediate","HILIC","Dihydroxyacetone phosphate","DHAP","DHAP","Dihydroxyacetone phosphate","10000 - >10000","0.52","12.5","500 - >10000","0.921","15.8","C3H7O6P",12.86,168.990203,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16108","Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate","Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate"
"cpd:C19675",NA,"Sulfur","HILIC","(R)-2,3-Dihydroxypropane-1-sulfonate","DHPS","DHPS","DHPS","<10 - 1000","0.548","15.2","<10 - 1000","0.712","18.2","C3H8O5S",10.67,155.001422,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:60997","(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate"
"cpd:C04022","ChEBI:16457","Sulfur","HILIC","Dimethylsulfoniopropionate","DMSP","DMSP","Dimethylsulfoniopropionate","<10 - >10000","0.324","10","<10 - 1000","0.278","9","C5H10O2S",9.325,135.047977,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:16457","S,S-Dimethyl-beta-propiothetin; S-Dimethylsulfonium propionic acid; Dimethylpropiothetin; DMPT; DMSP","S,S-Dimethyl-beta-propiothetin; S-Dimethylsulfonium propionic acid; Dimethylpropiothetin; DMPT; DMSP"
"cpd:C06231","ChEBI:27592","Osmolyte","HILIC","Ectoine","Ectoine","Ectoine","Ectoine","100 - >10000","0.544","14","500 - 1000","1.894","12.8","C6H10N2O2",9.25,141.066403,"[M-H]",-1,"HILICNeg",NA,8,"Mix2",160401,"ChEBI:27592","Ectoine; L-Ectoine","Ectoine; L-Ectoine; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate"
"cpd:C06231","ChEBI:27592","Osmolyte","HILIC","Ectoine","Ectoine","Ectoine","Ectoine",NA,NA,NA,NA,NA,NA,"C6H10N2O2",9.25,143.082053,"[M+H]",1,"HILICPos",NA,8,"Mix2",160401,"ChEBI:27592","Ectoine; L-Ectoine","Ectoine; L-Ectoine; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate"
"cpd:C16432","ChEBI:49432","Osmolyte","HILIC","5-Hydroxyectoine","Hydroxyectoine","Hydroxyectoine","Hydroxyectoine",NA,NA,NA,NA,NA,NA,"C6H10N2O3",11.07,159.076968,"[M+H]",1,"HILICPos",NA,0.1,"Mix2",160401,"ChEBI:49432","5-Hydroxyectoine","5-Hydroxyectoine"
"cpd:C00016","ChEBI:16238","Redox","HILIC","Flavin adenine dinucleotide","FAD","FAD","Flavin adenine dinucleotide","100 - >10000","0.489","23.5","<10 - >10000","0.811","18.1","C27H33N9O15P2",7.585,784.149317,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16238","FAD; Flavin adenine dinucleotide","FAD; Flavin adenine dinucleotide"
"cpd:C00085","ChEBI:15946","Sugar phosphate","HILIC","D-Fructose 6-phosphate","Fructose 6 phosphate","F6-phosphate","F6 phosphate","250 - 5000","0.597","20","20 - >10000","0.882","13.6","C6H13O9P",13.51,259.021897,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15946","D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester","D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester"
"cpd:C00122","ChEBI:18012","Organic Acid","HILIC","Fumaric acid","Fumaric Acid","Fumaric acid","Fumaric acid","dl","dl","dl","500 - >10000","0.9","16.5","C4H4O4",12.7,115.003135,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:18012","Fumarate; Fumaric acid; trans-Butenedioic acid","Fumarate; Fumaric acid; trans-Butenedioic acid"
"cpd:C00257","ChEBI:18391","Organic Acid","HILIC","D-Gluconic acid","Gluconic Acid","D-Gluconic acid","D Gluconic acid","20 - 1000","0.568","29.4","<10 - 1000","0.748","10.6","C6H12O7",10.79,195.05048,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:33198","D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid","D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid"
"cpd:C00103","ChEBI:29042","Sugar phosphate","HILIC","D-Glucose 1-phosphate","Glucose 1 phosphate","Glucose 1 phosphate","Glucose 1 phosphate","500 - >10000","0.597","20","100 - >10000","0.83","9.4","C6H13O9P",13.45,259.021897,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:29042","D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate","D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate"
"cpd:C00092","ChEBI:4170","Sugar phosphate","HILIC","D-Glucose 6-phosphate","Glucose 6 phosphate","Glucose 6 phosphate","Glucose 6 phosphate","500 - >10000","0.623","13.6","100 - >10000","0.842","2.4","C6H13O9P",14.12,259.021897,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:17665","D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester","D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester"
"cpd:C11546","ChEBI:82766","Osmolyte","HILIC","2-O-alpha-D-Glucosylglycerol","Glucosylglycerol","Glucosylglycerol","Glucosylglycerol",NA,NA,NA,NA,NA,NA,"C9H18O8",10.1,255.107995,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:82766","2-O-(alpha-D-Glucopyranosyl)glycerol; 2-O-alpha-D-Glucosylglycerol","2-O-(alpha-D-Glucopyranosyl)glycerol; 2-O-alpha-D-Glucosylglycerol"
"cpd:C00025","ChEBI:16015","Amino Acid","HILIC","L-Glutamic acid","Glutamic acid","Glutamic acid","Glutamic acid","1000 - >10000","1.83","30.9","100 - >10000","0.938","14.4","C5H9NO4",12.41,148.060984,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16015","L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate","L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"
"cpd:C00064","ChEBI:18050","Amino Acid","HILIC","L-Glutamine","Glutamine","Glutamine","Glutamine","1000 - >10000","0.912","21.2","20 - >10000","0.793","6.4","C5H10N2O3",11.7,147.076968,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:18050","L-Glutamine; L-2-Aminoglutaramic acid","L-Glutamine; L-2-Aminoglutaramic acid"
"cpd:C00093","ChEBI:15978","Redox","HILIC","Glycerophosphoric acid","glycerol 3 phosphate","G3-phosphate","Glycerophosphoric acid","1000 - 1000","0.83","16.7","100 - >10000","0.828","6.1","C3H9O6P",13.065,171.005853,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:15978","sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate","sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate"
"cpd:C00037","ChEBI:15428","Amino Acid","HILIC","Glycine","Glycine","Glycine","Glycine",NA,NA,NA,NA,NA,NA,"C2H5NO2",11.51,76.039854,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:15428","Glycine; Aminoacetic acid; Gly","Glycine; Aminoacetic acid; Gly"
"cpd:C00144","ChEBI:17345","Energy charge","HILIC","Guanosine monophosphate","GMP","GMP","Guanosine monophosphate","100 - >10000","0.248","28.8","100 - >10000","0.577","13","C10H14N5O8P",13.85,362.050178,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:17345","GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid","GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid"
