"Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","C0","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","ChEBI_Names"
"Nucleic Acid","HILIC","Adenine","Adenine","Adenine","Adenine",NA,NA,NA,NA,NA,NA,"C5H5N5",4.72,136.06232,"[M+H]",1,"cpd:C00147","HILICPos",NA,4,"Mix1",160401,"ChEBI:16708","Adenine; 6-Aminopurine","ChEBI:16708"
"Nucleic Acid","HILIC","Adenine","Adenine","Adenine","Adenine","100 - >10000","0.952","22.9","<10 - 1000","1.107","6.1","C5H5N5",4.72,134.0462,"[M-H]",-1,"cpd:C00147","HILICNeg",NA,4,"Mix1",160401,"ChEBI:16708","Adenine; 6-Aminopurine","ChEBI:16708"
"Nucleoside","HILIC","Adenosine","Adenosine","Adenosine","Adenosine",NA,NA,NA,NA,NA,NA,"C10H13N5O4",4.46,268.10458,"[M+H]",1,"cpd:C00212","HILICPos",NA,4,"Mix2",160401,"ChEBI:16335","Adenosine","ChEBI:16335"
"Nucleoside","HILIC","Adenosine","Adenosine","Adenosine","Adenosine","500 - >10000","0.836","12.1","100 - >10000","0.811","22.1","C10H13N5O4",4.46,266.08948,"[M-H]",-1,"cpd:C00212","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16335","Adenosine","ChEBI:16335"
"Internal Standard","HILIC","Adenosine monophosphate, 15N5","Adenosine Monophosphate, 15N5","Adenosine Monophosphate, 15N5","Adenosine Monophosphate 15N5",NA,NA,NA,NA,NA,NA,"C10H13N(15)5O7P",11.585,351.0411,"[M-H]",-1,NA,"HILICNeg",NA,5,NA,170301,NA,NA,NA
"Amino Acid synthesis","HILIC","S-Adenosylhomocysteine","Adenosyl Homocysteine","SAH","SAH","100 - >10000","0.81","18.9","<10 - 1000","0.7","11.9","C14H20N6O5S",10.85,385.129416,"[M+H]",1,"cpd:C00021","HILICPos",NA,4,"Mix1",160401,"ChEBI:16680","S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine","ChEBI:16680"
"Amino Acid synthesis","HILIC","S-Adenosylmethionine","Adenosyl Methionine","SAM","SAM","1000 - >10000","0.817","35.3","20 - >10000","1.066","22.8","C15H22N6O5S",13.01,399.145066,"[M+H]",1,"cpd:C00019","HILICPos",NA,4,"Mix1",160401,"ChEBI:15414","S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM","ChEBI:15414"
"Energy charge","HILIC","Adenosine diphosphate","ADP","ADP","Adenosine diphosphate","100 - >10000","0.23","26.4","100 - >10000","1.108","17","C10H15N5O10P2",12.09,426.021596,"[M-H]",-1,"cpd:C00008","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16761","ADP; Adenosine 5'-diphosphate","ChEBI:16761"
"Amino Acid","HILIC","L-Alanine","Alanine","Alanine","Alanine","1000 - >10000","0.903","8.5","20 - >10000","0.814","9.8","C3H7NO2",11.3,90.055504,"[M+H]",1,"cpd:C00041","HILICPos",NA,4,"Mix1",160401,"ChEBI:16977","L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine","ChEBI:16977"
"Sulfur","HILIC","3-Aminopropanesulfonate","Amino Propanesulfonic Acid","Amino Propanesulfonic Acid","Amino Propanesulfonic Acid",NA,NA,NA,NA,NA,NA,"C3H9NO3S",11.49,138.022491,"[M-H]",-1,NA,"HILICNeg",NA,4,"Mix2",160401,NA,NA,NA
"Amino Acid - degraded","HILIC","4-Aminobutyric acid","Aminobutyric Acid","Aminobutyric Acid","Aminobutyric Acid","1000 - >10000","0.868","14.2","20 - >10000","0.895","7.6","C4H9NO2",11.155,104.071154,"[M+H]",1,"cpd:C00334","HILICPos",NA,4,"Mix1",160401,"ChEBI:16865","4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA","ChEBI:16865"
"Energy charge","HILIC","Adenosine monophosphate","AMP","AMP","Adenosine monophosphate","100 - >10000","0.813","11.2","100 - >10000","1.035","8.4","C10H14N5O7P",11.585,346.055262,"[M-H]",-1,"cpd:C00020","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16027","AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate","ChEBI:16027"
"Amino Acid","HILIC","L-Arginine","Arginine","Arginine","Arginine","<10 - >10000","0.849","16.8","<10 - >10000","0.933","11.6","C6H14N4O2",17.93,175.119501,"[M+H]",1,"cpd:C00062","HILICPos",NA,4,"Mix1",160401,"ChEBI:16467","L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg","ChEBI:16467"
"New","HILIC"," L-Arginosuccinic acid","Argininosuccinic Acid","Argininosuccinic Acid","Argininosuccinic Acid",NA,NA,NA,NA,NA,NA,"C10H18N4O6",13.69,291.13046,"[M+H]",1,"cpd:C03406","HILICPos",NA,4,"Mix1",170331,"ChEBI:15682","N-(L-Arginino)succinate; 2-(Nomega-L-Arginino)succinate; L-Argininosuccinate; L-Argininosuccinic acid; L-Arginosuccinic acid","ChEBI:15682"
"Amino Acid","HILIC","L-Asparagine","Asparagine","Asparagine","Asparagine","100 - >10000","0.824","16.1","20 - 1000","0.894","6.5","C4H8N2O3",11.86,133.061318,"[M+H]",1,"cpd:C00152","HILICPos",NA,4,"Mix1",160401,"ChEBI:17196","L-Asparagine; 2-Aminosuccinamic acid","ChEBI:17196"
"Amino Acid","HILIC","L-Aspartic acid","Aspartic acid","Aspartic acid","Aspartic acid","100 - >10000","0.899","37.3","100 - >10000","0.818","11.6","C4H7NO4",12.86,134.045334,"[M+H]",1,"cpd:C00049","HILICPos",NA,4,"Mix1",160401,"ChEBI:17053","L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp","ChEBI:17053"
"Energy charge","HILIC","Adenosine triphosphate","ATP","ATP","Adenosine triphosphate","500 - >10000","0.209","75.8","100 - >10000","3.608","23.1","C10H16N5O13P3",15.35,505.987929,"[M-H]",-1,"cpd:C00002","HILICNeg",NA,4,"Mix2",160401,"ChEBI:15422","ATP; Adenosine 5'-triphosphate","ChEBI:15422"
"Amino Acid derivative","HILIC","Glycine betaine","Betaine","Glycine betaine","Glycine betaine","100 - >10000","0.762","7.7","20 - 1000","0.229","1.7","C5H11NO2",7.86,118.086804,"[M+H]",1,"cpd:C00719","HILICPos",NA,4,"Mix1",160401,"ChEBI:17750","Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate","ChEBI:17750"
"New2","HILIC","Butyrylcarnitine","Butyryl-L-carnitine","carnitine","Butyrylcarnitine",NA,NA,NA,NA,NA,NA,"C11H21NO4",4.47,232.154884,"[M+H]",1,NA,"HILICPos",NA,4,"Mix1",180130,"ChEBI:21949",NA,NA
"Intracellular signaling","HILIC","3',5'-Cyclic AMP","cAMP","cAMP","cAMP","100 - >10000","0.661","18.7","<10 - 1000","0.859","6.7","C10H12N5O6P",4.06,328.044698,"[M-H]",-1,"cpd:C00575","HILICNeg",NA,4,"Mix2",160401,"ChEBI:17489","3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP","ChEBI:17489"
"New","HILIC","Carnitine","Carnitine","Carnitine","Carnitine",NA,NA,NA,NA,NA,NA,"C7H15NO3",10.21,162.113019,"[M+H]",1,"cpd:C00487","HILICPos",NA,1,"Mix1",170331,"ChEBI:17126","Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate","ChEBI:17126"
"Intracellular signaling","HILIC","3',5'-Cyclic GMP","cGMP","cGMP","cGMP","20 - >10000","0.598","19.1","<10 - >10000","0.822","6.4","C10H12N5O7P",8.8,344.039613,"[M-H]",-1,"cpd:C00942","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16356","3',5'-Cyclic GMP; Guanosine 3',5'-cyclic monophosphate; Guanosine 3',5'-cyclic phosphate; Cyclic GMP; cGMP","ChEBI:16356"
"Amino sugar","HILIC","Chitobiose","Chitobiose","Chitobiose","Chitobiose","100 - >10000","0.434","25.7","<10 - >10000","0.299","20.1","C16H28N2O11",10.21,425.177138,"[M+H]",1,"cpd:C01674","HILICPos",NA,4,"Mix2",160401,"ChEBI:28681","Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose","ChEBI:28681"
"Vitamin (B-like)","HILIC","Choline","Choline","Choline","Choline","100 - >10000","0.998","32.7","20 - >10000","0.782","11.6","C5H14NO",15.265,104.107539,"[M]",1,"cpd:C00114","HILICPos",NA,4,"Mix1",160401,"ChEBI:15354","Choline; Bilineurine","ChEBI:15354"
"Organic Acid","HILIC","Citric acid","Citric Acid","Citric acid","Citric acid","500 - >10000","1.136","25","100 - >10000","0.934","6.9","C6H8O7",15.65,191.01918,"[M-H]",-1,"cpd:C00158","HILICNeg",NA,4,"Mix2",160401,"ChEBI:30769","Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid","ChEBI:16947"
"New","HILIC","Citrulline","Citrulline","Citrulline","Citrulline",NA,NA,NA,NA,NA,NA,"C6H13N3O3",12.21,176.103517,"[M+H]",1,"cpd:C00327","HILICPos",NA,4,"Mix1",170331,"ChEBI:16349","L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline","ChEBI:16349"
"Organic Acid - nitrogenous","HILIC","Creatine","Creatine","Creatine","Creatine","20 - >10000","0.945","8.4","<10 - 1000","0.816","3.5","C4H9N3O2",11.34,132.077302,"[M+H]",1,"cpd:C00300","HILICPos",NA,4,"Mix1",160401,"ChEBI:16919","Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine","ChEBI:16919"
"Co-enzyme A","HILIC","Crotonoyl-CoA","Crotonyl CoA","Crotonoyl-CoA","Crotonoyl CoA","100 - >10000","0.444","19.8","100 - >10000","0.761","16.8","C25H40N7O17P3S",8.45,834.133609,"[M-H]",-1,"cpd:C00877","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15473","Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA; (2E)-But-2-enoyl-CoA","ChEBI:15473"
"Intracellular signaling","HILIC","3',5'-Cyclic diGMP","Cyclic diGMP","Cyclic diGMP","Cyclic diGMP","100 - >10000","0.776","13.3","20 - >10000","0.886","15.8","C20H24N10O14P2",13.74,689.087051,"[M-H]",-1,"cpd:C16463","HILICNeg",NA,4,"Mix2",160401,"ChEBI:49537","3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-guanylate","ChEBI:49537"
"New","HILIC","L-Cysteinylglycine","Cys-Gly","Cys-Gly","Cys Gly",NA,NA,NA,NA,NA,NA,"C5H10N2O3S",9.53,179.04904,"[M+H]",1,"cpd:C01419","HILICPos",NA,5,"Mix1",170331,"ChEBI:4047","Cys-Gly; L-Cysteinylglycine","ChEBI:4047"
"New","HILIC","Cys-Gly, oxidized","Cys-Gly oxidized","Cys-Gly oxidized","Cys Gly oxidized",NA,NA,NA,NA,NA,NA,"C10H18N4O6S2",11.85,355.074605,"[M+H]",1,"cpd:C01419","HILICPos",NA,4,"Mix1",170331,NA,"Cys-Gly; L-Cysteinylglycine","ChEBI:4047"
"Amino Acid synthesis","HILIC","L-Cystathionine","Cystathionine","Cystathionine","Cystathionine",NA,"0.74","18.3",NA,"0.829","18.5","C7H14N2O4S",13.14,223.075255,"[M+H]",1,"cpd:C02291","HILICPos",NA,4,"Mix2",160401,"ChEBI:17482","L-Cystathionine","ChEBI:17482"
"Sulfur","HILIC","L-Cysteic acid","Cysteic Acid","Cysteic acid","Cysteic acid","20 - >10000","0.834","13.6","100 - >10000","0.99","7.5","C3H7NO5S",12.15,167.996671,"[M-H]",-1,"cpd:C00506","HILICNeg",NA,4,"Mix2",160401,"ChEBI:17285","L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid","ChEBI:17285"
"Amino Acid","HILIC","L-Cysteine","Cysteine","Cysteine","Cysteine",NA,NA,NA,NA,NA,NA,"C3H7NO2S",7,122.027576,"[M+H]",1,"cpd:C00097","HILICPos",NA,NA,NA,NA,"ChEBI:17561","L-Cysteine; L-2-Amino-3-mercaptopropionic acid","ChEBI:17561"
"Amino Acid","HILIC","L-Cystine","Cystine","Cystine","Cystine","10000 - >10000","0.385","15.4","100 - >10000","0.261","15.1","C6H12N2O4S2",13.1,241.031677,"[M+H]",1,"cpd:C00491","HILICPos",NA,4,"Mix1",160401,"ChEBI:16283","L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid","ChEBI:16283"
"Nucleoside","HILIC","Cytidine","Cytidine","Cytidine","Cytidine","100 - >10000","0.348","18.4","100 - 1000","0.518","7.7","C9H13N3O5",8.55,242.077697,"[M-H]",-1,"cpd:C00475","HILICNeg",NA,4,"Mix2",160401,"ChEBI:17562","Cytidine","ChEBI:17562"
"Nucleoside","HILIC","Cytidine","Cytidine","Cytidine","Cytidine",NA,NA,NA,NA,NA,NA,"C9H13N3O5",8.55,244.093347,"[M+H]",1,"cpd:C00475","HILICPos",NA,4,"Mix2",160401,"ChEBI:17562","Cytidine","ChEBI:17562"
"Nucleic Acid","HILIC","Cytosine","Cytosine","Cytosine","Cytosine","10000 - >10000","dl","dl","500 - >10000","dl","dl","C4H5N3O",7.41,110.035437,"[M-H]",-1,"cpd:C00380","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16040","Cytosine","ChEBI:16040"
"Nucleic Acid","HILIC","Cytosine","Cytosine","Cytosine","Cytosine",NA,NA,NA,NA,NA,NA,"C4H5N3O",7.41,112.051087,"[M+H]",1,"cpd:C00380","HILICPos",NA,4,"Mix2",160401,"ChEBI:16040","Cytosine","ChEBI:16040"
"Calvin cycle intermediate","HILIC","Dihydroxyacetone phosphate","DHAP","DHAP","Dihydroxyacetone phosphate","10000 - >10000","0.52","12.5","500 - >10000","0.921","15.8","C3H7O6P",12.86,168.990203,"[M-H]",-1,"cpd:C00111","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16108","Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate","ChEBI:16108"
"Sulfur","HILIC","(R)-2,3-Dihydroxypropane-1-sulfonate","DHPS","DHPS","DHPS","<10 - 1000","0.548","15.2","<10 - 1000","0.712","18.2","C3H8O5S",10.67,155.001422,"[M-H]",-1,"cpd:C19675","HILICNeg",NA,4,"Mix2",160401,"ChEBI:60997","(R)-2,3-Dihydroxypropane-1-sulfonate",NA
"Amino Acid derivative","HILIC","Dimethylglycine","Dimethyl Glycine","DMG","Dimethylglycine","100 - >10000","0.464","11.8","<10 - 1000","0.773","5.2","C4H9NO2",8.97,104.071154,"[M+H]",1,"cpd:C01026","HILICPos",NA,4,"Mix1",160401,"ChEBI:17724","N,N-Dimethylglycine; Dimethylglycine","ChEBI:17724"
"Internal Standard","HILIC","DL-Alanine, 2H3","DL-Alanine, D3","Alanine, 2H3","Alanine 2H3",NA,NA,NA,NA,NA,NA,"C3H4D3NO2",11.3,93.0738,"[M+H]",1,NA,"HILICPos",NA,5,NA,160401,NA,NA,NA
"Internal Standard","HILIC","DL-Histidine, 15N","DL-Histidine, 15N","Histidine, 15N","Histidine 15N",NA,NA,NA,NA,NA,NA,"C6H9N3N(15)O2",11.45,157.0738,"[M+H]",1,NA,"HILICPos",NA,2.5,NA,160401,NA,NA,NA
"Internal Standard","HILIC","DL-Proline, 2H7","DL-Proline, D7","Proline, 2H7","Proline 2H7",NA,NA,NA,NA,NA,NA,"C5H3D7NO2",9.49,123.1145,"[M+H]",1,NA,"HILICPos",NA,1,NA,170301,NA,NA,NA
"Internal Standard","HILIC","DL-Valine, 2H8","DL-Valine, D8","Valine, 2H8","Valine 2H8",NA,NA,NA,NA,NA,NA,"C5H4D8NO2",9.09,126.1365,"[M+H]",1,NA,"HILICPos",NA,1,NA,170301,NA,NA,NA
"Sulfur","HILIC","Dimethylsulfoniopropionate","DMSP","DMSP","Dimethylsulfoniopropionate","<10 - >10000","0.324","10","<10 - 1000","0.278","9","C5H10O2S",9.325,135.047977,"[M+H]",1,"cpd:C04022","HILICPos",NA,4,"Mix2",160401,"ChEBI:16457","S,S-Dimethyl-beta-propiothetin; S-Dimethylsulfonium propionic acid; Dimethylpropiothetin; DMPT; DMSP","ChEBI:16457"
"Osmolyte","HILIC","Ectoine","Ectoine","Ectoine","Ectoine","100 - >10000","0.544","14","500 - 1000","1.894","12.8","C6H10N2O2",9.25,141.066403,"[M-H]",-1,"cpd:C06231","HILICNeg",NA,8,"Mix2",160401,"ChEBI:27592","Ectoine; L-Ectoine; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate","ChEBI:27592"
"Osmolyte","HILIC","Ectoine","Ectoine","Ectoine","Ectoine",NA,NA,NA,NA,NA,NA,"C6H10N2O2",9.25,143.082053,"[M+H]",1,"cpd:C06231","HILICPos",NA,8,"Mix2",160401,"ChEBI:27592","Ectoine; L-Ectoine; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate","ChEBI:27592"
"Osmolyte","HILIC","5-Hydroxyectoine","Hydroxyectoine","Hydroxyectoine","Hydroxyectoine",NA,NA,NA,NA,NA,NA,"C6H10N2O3",11.07,159.076968,"[M+H]",1,"cpd:C16432","HILICPos",NA,0.1,"Mix2",160401,"ChEBI:49432","5-Hydroxyectoine","ChEBI:49432"
"Sulfur","HILIC","Ethanesulfonic acid","Ethanesulfonic Acid","Ethanesulfonic Acid","Ethanesulfonic acid",NA,NA,NA,NA,NA,NA,"C2H6O3S",4.29,108.995942,"[M-H]",-1,NA,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:42465",NA,NA
"Lignin","HILIC","Ethyl aminobenzoate","Ethyl 3 aminobenzoate","Ethyl aminobenzoate","Ethyl aminobenzoate",NA,NA,NA,NA,NA,NA,"C9H11NO2",2.01,166.086804,"[M+H]",1,"cpd:C07527","HILICPos",NA,NA,NA,NA,"ChEBI:116735","Benzocaine; Ethyl aminobenzoate","ChEBI:116735"
"Lignin","HILIC","Ethyl dihydroxybenzoate","Ethyl Dihydroxybenzoate","EDHB","Ethyl dihydroxybenzoate","<10 - >10000","0.861","16","<10 - >10000","1.074","5.4","C9H10O4",2.08,181.050085,"[M-H]",-1,NA,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:132364",NA,NA
"Redox","HILIC","Flavin adenine dinucleotide","FAD","FAD","Flavin adenine dinucleotide","100 - >10000","0.489","23.5","<10 - >10000","0.811","18.1","C27H33N9O15P2",7.585,784.149317,"[M-H]",-1,"cpd:C00016","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16238","FAD; Flavin adenine dinucleotide","ChEBI:16238"
"Sugar phosphate","HILIC","D-Fructose 6-phosphate","Fructose 6 phosphate","F6-phosphate","F6 phosphate","250 - 5000","0.597","20","20 - >10000","0.882","13.6","C6H13O9P",13.51,259.021897,"[M-H]",-1,"cpd:C00085","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15946","D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester","ChEBI:15946"
"Organic Acid","HILIC","Fumaric acid","Fumaric Acid","Fumaric acid","Fumaric acid","dl","dl","dl","500 - >10000","0.9","16.5","C4H4O4",12.7,115.003135,"[M-H]",-1,"cpd:C00122","HILICNeg",NA,4,"Mix1",160401,"ChEBI:18012","Fumarate; Fumaric acid; trans-Butenedioic acid","ChEBI:18012"
"Organic Acid","HILIC","D-Gluconic acid","Gluconic Acid","D-Gluconic acid","D Gluconic acid","20 - 1000","0.568","29.4","<10 - 1000","0.748","10.6","C6H12O7",10.79,195.05048,"[M-H]",-1,"cpd:C00257","HILICNeg",NA,4,"Mix2",160401,"ChEBI:33198","D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid","ChEBI:18391"
"New2","HILIC","D-Glucosamine","Glucosamine","D-Glucosamine","D Glucosamine",NA,NA,NA,NA,NA,NA,"C6H13NO5",9.97,180.087199,"[M+H]",1,NA,"HILICPos",NA,5,"Mix1",180130,"ChEBI:5417",NA,NA
"Sugar phosphate","HILIC","D-Glucose 1-phosphate","Glucose 1 phosphate","Glucose 1 phosphate","Glucose 1 phosphate","500 - >10000","0.597","20","100 - >10000","0.83","9.4","C6H13O9P",13.45,259.021897,"[M-H]",-1,"cpd:C00103","HILICNeg",NA,4,"Mix2",160401,"ChEBI:29042","D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate","ChEBI:29042"
"Sugar phosphate","HILIC","D-Glucose 6-phosphate","Glucose 6 phosphate","Glucose 6 phosphate","Glucose 6 phosphate","500 - >10000","0.623","13.6","100 - >10000","0.842","2.4","C6H13O9P",14.12,259.021897,"[M-H]",-1,"cpd:C00092","HILICNeg",NA,4,"Mix1",160401,"ChEBI:17665","D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester","ChEBI:4170"
"Osmolyte","HILIC","2-O-alpha-D-Glucosylglycerol","Glucosylglycerol","Glucosylglycerol","Glucosylglycerol",NA,NA,NA,NA,NA,NA,"C9H18O8",10.1,255.107995,"[M+H]",1,"cpd:C11546","HILICPos",NA,4,"Mix2",160401,"ChEBI:82766","2-O-(alpha-D-Glucopyranosyl)glycerol; 2-O-alpha-D-Glucosylglycerol","ChEBI:82766"
"Amino Acid","HILIC","L-Glutamic acid","Glutamic acid","Glutamic acid","Glutamic acid","1000 - >10000","1.83","30.9","100 - >10000","0.938","14.4","C5H9NO4",12.41,148.060984,"[M+H]",1,"cpd:C00025","HILICPos",NA,4,"Mix1",160401,"ChEBI:16015","L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate","ChEBI:16015"
"Amino Acid","HILIC","L-Glutamine","Glutamine","Glutamine","Glutamine","1000 - >10000","0.912","21.2","20 - >10000","0.793","6.4","C5H10N2O3",11.7,147.076968,"[M+H]",1,"cpd:C00064","HILICPos",NA,4,"Mix1",160401,"ChEBI:18050","L-Glutamine; L-2-Aminoglutaramic acid","ChEBI:18050"
"Antioxidant","HILIC","Glutathione","Glutathione","Glutathione","Glutathione","100 - >10000","0.112","23.3","20 - >10000","0.143","19.1","C10H17N3O6S",12,308.091634,"[M+H]",1,"cpd:C00051","HILICPos",NA,4,"Mix1",160401,"ChEBI:16856","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione","ChEBI:16856"
"Sulfur","HILIC","Glutathione disulfide","Glutathione Disulfide","GSSG","Glutathione disulfide",NA,NA,NA,NA,NA,NA,"C20H32N6O12S2",14.98,613.159793,"[M+H]",1,"cpd:C00127","HILICPos",NA,4,"Mix2",160401,"ChEBI:17858","Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione","ChEBI:167606"
"Redox","HILIC","Glycerophosphoric acid","glycerol 3 phosphate","G3-phosphate","Glycerophosphoric acid","1000 - 1000","0.83","16.7","100 - >10000","0.828","6.1","C3H9O6P",13.065,171.005853,"[M-H]",-1,"cpd:C00093","HILICNeg",NA,4,"Mix2",160401,"ChEBI:15978","sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate","ChEBI:15978"
"New2","HILIC","Glycerophosphocholine","Glycerophosphocholine","GPP","Glycerophosphocholine",NA,NA,NA,NA,NA,NA,"C8H21NO6P",10.86,258.110652,"[M]",1,"cpd:C00670","HILICPos",NA,4,"Mix1",180130,"ChEBI:36313","sn-Glycero-3-phosphocholine; Glycerophosphocholine","ChEBI:16870"
"Amino Acid","HILIC","Glycine","Glycine","Glycine","Glycine",NA,NA,NA,NA,NA,NA,"C2H5NO2",11.51,76.039854,"[M+H]",1,"cpd:C00037","HILICPos",NA,4,"Mix1",160401,"ChEBI:15428","Glycine; Aminoacetic acid; Gly","ChEBI:15428"
"Energy charge","HILIC","Guanosine monophosphate","GMP","GMP","Guanosine monophosphate","100 - >10000","0.248","28.8","100 - >10000","0.577","13","C10H14N5O8P",13.85,362.050178,"[M-H]",-1,"cpd:C00144","HILICNeg",NA,4,"Mix2",160401,"ChEBI:17345","GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid","ChEBI:17345"
"Energy charge","HILIC","Guanosine triphosphate","GTP","GTP","Guanosine triphosphate","100 - >10000","0.493","92.4","500 - >10000","1.978","20.5","C10H16N5O14P3",16.58,521.982844,"[M-H]",-1,"cpd:C00044","HILICNeg",NA,4,"Mix2",160401,"ChEBI:15996","GTP; Guanosine 5'-triphosphate","ChEBI:15996"
"Nucleic Acid","HILIC","Guanine","Guanine","Guanine","Guanine",NA,"1.159","12.2",NA,"1.617","8.5","C5H5N5O",8.61,150.041585,"[M-H]",-1,"cpd:C00242","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16235","Guanine; 2-Amino-6-hydroxypurine","ChEBI:16235"
"Nucleic Acid","HILIC","Guanine","Guanine","Guanine","Guanine",NA,NA,NA,NA,NA,NA,"C5H5N5O",8.61,152.057235,"[M+H]",1,"cpd:C00242","HILICPos",NA,4,"Mix2",160401,"ChEBI:16235","Guanine; 2-Amino-6-hydroxypurine","ChEBI:16235"
"Nucleoside","HILIC","Guanosine","Guanosine","Guanosine","Guanosine",NA,NA,NA,NA,NA,NA,"C10H13N5O5",9.06,284.099495,"[M+H]",1,"cpd:C00387","HILICPos",NA,4,"Mix2",160401,"ChEBI:16750","Guanosine","ChEBI:16750"
"Nucleoside","HILIC","Guanosine","Guanosine","Guanosine","Guanosine","100 - >10000","0.609","13.7","<10 - 1000","4.329","16.5","C10H13N5O5",9.06,282.083845,"[M-H]",-1,"cpd:C00387","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16750","Guanosine","ChEBI:16750"
"Internal Standard","HILIC","Guanosine monophosphate, 15N5","Guanosine Monophosphate, 15N5","Guanosine Monophosphate, 15N5","Guanosine Monophosphate 15N5",NA,NA,NA,NA,NA,NA,"C10H13N(15)5O8P",13.85,367.0364,"[M-H]",-1,NA,"HILICNeg",NA,2,NA,170301,NA,NA,NA
"Amino Acid","HILIC","L-Histidine","Histidine","Histidine","Histidine","100 - >10000","0.759","23","<10 - 1000","0.704","6.9","C6H9N3O2",11.45,156.077302,"[M+H]",1,"cpd:C00135","HILICPos",NA,4,"Mix1",160401,"ChEBI:15971","L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid","ChEBI:15971"
"Osmolyte","HILIC","Homarine","Homarine","Homarine","Homarine",NA,"1.23","10.4",NA,"1.177","9.4","C7H7NO2",6.19,138.055503,"[M+H]",1,NA,"HILICPos",NA,4,"Mix2",160401,"ChEBI:69061",NA,NA
"New","HILIC","Homocysteine thiolactone","Homocysteine Thiolactone","Homocysteine thiolactone","Homocysteine thiolactone",NA,NA,NA,NA,NA,NA,"C4H7NOS",2.78,118.032661,"[M+H]",1,NA,"HILICPos",NA,4,"Mix1",170331,"ChEBI:60315",NA,NA
