"","Compound_Name","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_SQL"
"132","Deoxyadenosine","Deoxyadenosine; 2'-Deoxyadenosine","ChEBI:17256","(2R,3S,5R)-5-(6-aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol","OLXZPDWKRNYJJZ-RRKCRQDMSA-N","C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; subclass: Purine 2'-deoxyribonucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; subclass: Purine 2'-deoxyribonucleosides","Deoxyadenosine"
"134","Desthiobiotin","Dethiobiotin; Desthiobiotin","ChEBI:16691","6-(5-methyl-2-oxoimidazolidin-4-yl)hexanoic acid","AUTOLBMXDDTRRT-UHFFFAOYSA-N","CC1C(NC(=O)N1)CCCCCC(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Azoles; subclass: Imidazoles; level 5: Substituted imidazoles; level 6: Imidazolyl carboxylic acids and derivatives","Desthiobiotin"
"135","Dexpanthenol","Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic","ChEBI:27373","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide","SNPLKNRPJHDVJA-ZETCQYMHSA-N","CC(C)(CO)C(C(=O)NCCCO)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Secondary alcohols; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Secondary alcohols","Dexpanthenol"
"137","D-Fructose 6-phosphate","D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester","ChEBI:15946","[(2R,3R,4S)-2,3,4,6-tetrahydroxy-5-oxohexyl] dihydrogen phosphate","GSXOAOHZAIYLCY-HSUXUTPPSA-N","C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Hexoses; level 7: Hexose phosphates","Fructose 6 phosphate"
"138","D-Gluconic acid","D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid","ChEBI:18391","(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid","RGHNJXZEOKUKBD-SQOUGZDYSA-N","C(C(C(C(C(C(=O)O)O)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Sugar acids and derivatives","Gluconic acid"
"139","D-Glucose 1-phosphate","D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate","ChEBI:29042","[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] dihydrogen phosphate","HXXFSFRBOHSIMQ-VFUOTHLCSA-N","C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Monosaccharide phosphates","Glucose 1 phosphate"
"140","D-Glucose 6-phosphate","D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester","ChEBI:4170","(2,3,4,5-tetrahydroxy-6-oxohexyl) dihydrogen phosphate","VFRROHXSMXFLSN-UHFFFAOYSA-N","C(C(C(C(C(C=O)O)O)O)O)OP(=O)(O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Monosaccharide phosphates","Glucose 6 phosphate"
"141","Diacylglycerol 18:1-18:1",NA,"CHEBI:75735",NA,NA,NA,NA,"DAG 18s1_18s1"
"142","Diacylglycerophosphoglycerol 16:0-18:2",NA,"CHEBI:136479",NA,NA,NA,NA,"PG 16s0_18s2"
"144","Diether phosphatidylcholine diacylglycerol 16:0-16:0",NA,NA,NA,NA,NA,NA,"PC 16s0e_16s0e"
"146","Diether phosphatidylethanolamine diacylglycerol 16:0-16:0",NA,"CHEBI:73859",NA,NA,NA,NA,"PE 16s0e_16s0e"
"148","Digalactosyldiacylglycerol 18:3-18:3",NA,"CHEBI:141238",NA,NA,NA,NA,"DGDG 18s3_18s3"
"150","Dihydroxyacetone phosphate","Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate","ChEBI:16108","(3-hydroxy-2-oxopropyl) dihydrogen phosphate","GNGACRATGGDKBX-UHFFFAOYSA-N","C(C(=O)COP(=O)(O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Monosaccharide phosphates; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Monosaccharide phosphates","Dihydroxyacetone phosphate"
"151","Dihydroxy-L-phenylalanine","3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine","ChEBI:15765",NA,NA,NA,NA,"Dihydroxyphenylalanine"
"152","Dihydrozeatin","Dihydrozeatin; 2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol; N6-(4-Hydroxyisopentanyl)adenine","ChEBI:17874","(2S)-2-methyl-4-(7H-purin-6-ylamino)butan-1-ol","XXFACTAYGKKOQB-ZETCQYMHSA-N","CC(CCNC1=NC=NC2=C1NC=N2)CO","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines; level 6: 6-alkylaminopurines","Dihydrozeatin"
"153","Dimethylbenzimidazole","Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole","ChEBI:15890","5,6-dimethyl-1H-benzimidazole","LJUQGASMPRMWIW-UHFFFAOYSA-N","CC1=CC2=C(C=C1C)N=CN2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Benzimidazoles","Dimethylbenzimidazole"
"154","Dimethylglycine","N,N-Dimethylglycine; Dimethylglycine","ChEBI:17724","2-(dimethylamino)acetic acid","FFDGPVCHZBVARC-UHFFFAOYSA-N","CN(C)CC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Dimethylglycine"
"156","Dimethylsulfonioacetate","Dimethylsulfonioacetate","ChEBI:4623","2-dimethylsulfonioacetate","PSBDWGZCVUAZQS-UHFFFAOYSA-N","C[S+](C)CC(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Carboxylic acid derivatives; level 5: Carboxylic acid salts","Dimethylsulfonioacetate"
"157","Dimethylsulfoniopropionate","S,S-Dimethyl-beta-propiothetin; S-Dimethylsulfonium propionic acid; Dimethylpropiothetin; DMPT; DMSP","ChEBI:16457","3-dimethylsulfoniopropanoate","DFPOZTRSOAQFIK-UHFFFAOYSA-N","C[S+](C)CCC(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Carboxylic acid derivatives; level 5: Carboxylic acid salts","Dimethylsulfoniopropionate"
"158","DL-Alanine, 2H3",NA,NA,NA,NA,NA,NA,"DL Alanine 2H3"
"159","DL-Histidine, 15N",NA,NA,NA,NA,NA,NA,"DL Histidine 15N"
"160","DL-Proline, 2H7",NA,NA,NA,NA,NA,NA,"DL Proline 2H7"
"161","DL-Valine, 2H8",NA,NA,NA,NA,NA,NA,"DL Valine 2H8"
"162","D-Methylmalonyl-CoA","(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA","ChEBI:15466","(2S)-3-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-2-methyl-3-oxopropanoic acid","MZFOKIKEPGUZEN-IBNUZSNCSA-N","CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs","Methylmalonyl CoA"
"163","Docosahexaenoic acid","(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid; Docosahexaenoate; 4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoic acid; (4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoic acid","ChEBI:28125","(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid","MBMBGCFOFBJSGT-KUBAVDMBSA-N","CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Very long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Very long-chain fatty acids","Docosahexaenoic acid"
"165","Docosahexaenoic acid, 2H5",NA,NA,NA,NA,NA,NA,"Docosahexaenoic acid 2H5"
"167","Domoic acid","Domoic acid","ChEBI:34727","(2S,3S,4S)-4-[(2Z,4E,6R)-6-carboxyhepta-2,4-dien-2-yl]-3-(carboxymethyl)pyrrolidine-2-carboxylic acid","VZFRNCSOCOPNDB-AOKDLOFSSA-N","CC(C=CC=C(C)C1CNC(C1CC(=O)O)C(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Kainoids","Domoic acid"
"168","D-Ribose 5-phosphate","D-Ribose 5-phosphate; Ribose 5-phosphate","ChEBI:17797","[(2R,3S,4R)-3,4,5-trihydroxyoxolan-2-yl]methyl dihydrogen phosphate","KTVPXOYAKDPRHY-SOOFDHNKSA-N","C(C1C(C(C(O1)O)O)O)OP(=O)(O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Pentoses; level 7: Pentose phosphates","R5P"
"169","Ectoine","Ectoine; L-Ectoine; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate","ChEBI:27592","(6S)-2-methyl-1,4,5,6-tetrahydropyrimidine-6-carboxylic acid","WQXNXVUDBPYKBA-YFKPBYRVSA-N","CC1=NCCC(N1)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Ectoine"
"171","Eicosapentaenoic acid","(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoate; 5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoic acid","ChEBI:28364","(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid","JAZBEHYOTPTENJ-JLNKQSITSA-N","CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids","Eicosapentaenoic acid"
"173","Eicosapentaenoic acid, 2H5",NA,NA,NA,NA,NA,NA,"Eicosapentaenoic acid 2H5"
"175","Ergosterol","Ergosterol; Provitamin D2","ChEBI:16933","(3S,9S,10R,13R,14R,17R)-17-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol","DNVPQKQSNYMLRS-APGDWVJJSA-N","CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Ergostane steroids; level 5: Ergosterols and derivatives; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Ergostane steroids; level 5: Ergosterols and derivatives","Ergosterol"
"177","Ergothioneine","Ergothioneine","ChEBI:4828","(2S)-3-(2-sulfanylidene-1,3-dihydroimidazol-4-yl)-2-(trimethylazaniumyl)propanoate","SSISHJJTAXXQAX-ZETCQYMHSA-N","C[N+](C)(C)C(CC1=CNC(=S)N1)C(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Histidine and derivatives","Ergothioneine"
"178","Ethanesulfonic acid",NA,"CHEBI:42465","ethanesulfonic acid","CCIVGXIOQKPBKL-UHFFFAOYSA-N","CCS(=O)(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids","Ethanesulfonic acid"
"179","Ethanolamine","Ethanolamine; Aminoethanol; 2-Hydroxyethylamine","ChEBI:16000","2-aminoethanol","HZAXFHJVJLSVMW-UHFFFAOYSA-N","C(CO)N","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Amines; level 5: Alkanolamines; level 6: 1,2-aminoalcohols","Ethanolamine"
"180","Ethyl aminobenzoate","Benzocaine; Ethyl aminobenzoate","ChEBI:116735","ethyl 4-aminobenzoate","BLFLLBZGZJTVJG-UHFFFAOYSA-N","CCOC(=O)C1=CC=C(C=C1)N","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Benzoic acid esters; kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Benzoic acid esters","Ethyl aminobenzoate"
"182","Ethyl dihydroxybenzoate",NA,"CHEBI:132364","ethyl 3,5-dihydroxybenzoate","APHYVLPIZUVDTK-UHFFFAOYSA-N","CCOC(=O)C1=CC(=CC(=C1)O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Benzoic acid esters; level 6: m-Hydroxybenzoic acid esters","Ethyl dihydroxybenzoate"
"183","Ferulic acid","Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate","ChEBI:17620","(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid","KSEBMYQBYZTDHS-HWKANZROSA-N","COC1=C(C=CC(=C1)C=CC(=O)O)O","kingdom: Organic compounds; superclass: Phenylpropanoids and polyketides; class: Cinnamic acids and derivatives; subclass: Hydroxycinnamic acids and derivatives; level 5: Hydroxycinnamic acids","Ferulic acid"
"184","Flavin adenine dinucleotide","FAD; Flavin adenine dinucleotide","ChEBI:16238","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] hydrogen phosphate","VWWQXMAJTJZDQX-UYBVJOGSSA-N","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Flavin nucleotides","Flavin adenine dinucleotide"
"185","Folic acid","Folate; Pteroylglutamic acid; Folic acid","ChEBI:27470","(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid","OVBPIULPVIDEAO-LBPRGKRZSA-N","C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives","Folic acid"
"186","Fumaric acid","Fumarate; Fumaric acid; trans-Butenedioic acid","ChEBI:18012","(E)-but-2-enedioic acid","VZCYOOQTPOCHFL-OWOJBTEDSA-N","C(=CC(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Dicarboxylic acids and derivatives","Fumaric acid"
"187","Gibberellin A3","Gibberellin A3; Gibberellic acid; Gibberellin","ChEBI:28833","(1R,2R,5S,8S,9S,10R,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid","IXORZMNAPKEEDV-QTWFBFKQSA-N","CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Diterpenoids; level 5: Gibberellins; level 6: C19-gibberellins; level 7: C19-gibberellin 6-carboxylic acids","Gibberellin A3"
"188","Gibberellin A4","Gibberellin A4","ChEBI:32902","(1R,2R,5R,8R,9S,10R,11S,12S)-12-hydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid","RSQSQJNRHICNNH-NFMPGMCNSA-N","CC12C(CCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)OC2=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Diterpenoids; level 5: Gibberellins; level 6: C19-gibberellins; level 7: C19-gibberellin 6-carboxylic acids","Gibberellin A4"
"189","Glucosamine",NA,"CHEBI:5417","(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol","MSWZFWKMSRAUBD-IVMDWMLBSA-N","C(C1C(C(C(C(O1)O)N)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Hexoses; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Hexoses","Glucosamine"
"191","Glutamylphenylalanine",NA,"CHEBI:82966","2-amino-5-[(1-carboxy-2-phenylethyl)amino]-5-oxopentanoic acid","XHHOHZPNYFQJKL-UHFFFAOYSA-N","C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CCC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides","Glutamylphenylalanine"
"193","Glutathione","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione","ChEBI:16856","(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid","RWSXRVCMGQZWBV-WDSKDSINSA-N","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides","Glutathione"
"195","Glutathione disulfide","Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione","ChEBI:167606","(2S)-2-amino-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]disulfanyl]-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid","YPZRWBKMTBYPTK-BJDJZHNGSA-N","C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides","Glutathione disulfide"
"197","Glycerol trioleate, 13C15",NA,NA,NA,NA,NA,NA,"Glycerol trioleate 13C15"
"198","Glycerol tripalmitate, 13C6",NA,NA,NA,NA,NA,NA,"Glycerol tripalmitate 13C6"
"199","Glycerophosphocholine","sn-Glycero-3-phosphocholine; Glycerophosphocholine","ChEBI:16870","[(2R)-2,3-dihydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","SUHOQUVVVLNYQR-MRVPVSSYSA-N","C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines","Glycerophosphocholine"
"201","Glycerophosphoric acid","sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate","ChEBI:15978","2,3-dihydroxypropyl dihydrogen phosphate","AWUCVROLDVIAJX-UHFFFAOYSA-N","C(C(COP(=O)(O)O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphates","Glycerophosphoric acid"
"202","Glycine","Glycine; Aminoacetic acid; Gly","ChEBI:15428","2-aminoacetic acid","DHMQDGOQFOQNFH-UHFFFAOYSA-N","C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Glycine"
"203","Glycine betaine","Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate","ChEBI:17750","2-(trimethylazaniumyl)acetate","KWIUHFFTVRNATP-UHFFFAOYSA-N","C[N+](C)(C)CC(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Glycine betaine"
"205","Glycine betaine, 13C5, 15N",NA,NA,NA,NA,NA,NA,"Glycine betaine 13C5 15N"
"206","Gonyol",NA,NA,"(3S)-5-(Dimethylsulfonio)-3-hydroxypentanoate","BGFHLXJVANJCHK-ZCFIWIBFSA-N","C[S+](C)CCC(CC(=O)[O-])O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Hydroxy acids and derivatives; subclass: Beta hydroxy acids and derivatives","Gonyol"
"207","Guanine","Guanine; 2-Amino-6-hydroxypurine","ChEBI:16235","2-amino-1,7-dihydropurin-6-one","UYTPUPDQBNUYGX-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC(=N2)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives","Guanine"
"209","Guanine, 13C, 15N2",NA,NA,NA,NA,NA,NA,"Guanine 13C 15N2"
"210","Guanosine","Guanosine","ChEBI:16750","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","NYHBQMYGNKIUIF-UUOKFMHZSA-N","C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Guanosine"
